,name,title,title2,title3,education
0,Rachid Aadnani,Lecturer in Middle Eastern Studies,,,"B.A., Universite Moulay Ismail (Morocco); M.A., Dartmouth College; Ph.D., Binghamton University"
1,Ama Baafra Abeberese,Assistant Professor of Economics,,,"B.A., Wellesley College; M.A., M.Phil., Ph.D., Columbia University"
2,Kris Adams,Senior Music Performance Faculty in Vocal Jazz,,,"B.M., Berklee College of Music; M.M., New England Conservatory of Music"
3,Marjorie Agosin,Luella LaMer Slaner Professor in Latin American Studies,Professor of Spanish,,"B.A., University of Georgia; M.A., Ph.D., Indiana University"
4,Eliko Akahori,Music Performance Faculty in Piano,Coach/Accompanist,,"B.M., Kunitachi College of Music (Japan); M.M., D.M.A., New England Conservatory of Music"
5,Robin M. AkertA,Professor of Psychology,,,"B.A., University of California (Santa Cruz); M.A., Ph.D., Princeton University"
6,Fred Aldrich,Music Performance Faculty in French Horn,,,"B.M., New England Conservatory of Music"
7,Sarah M. Allen,Assistant Professor of Chinese,,,"A.B., Harvard College; M.A., University of Michigan; Ph.D., Harvard University"
8,Scott D. Anderson,Lecturer in Computer Science,,,"B.S., Yale University; M.S., Ph.D., University of Massachusetts (Amherst)"
9,Diego Arciniegas,Senior Lecturer in Theatre Studies,,,"B.A., Williams College"
10,Justin Armstrong,Visiting Lecturer in the Writing Program,,,"B.A., Wilfred Laurier University (Waterloo, ON); M.A., Ph.D., McMaster University (Hamilton, ON)"
11,Chris R. Arumainayagam,Professor of Chemistry,,,"A.B., Harvard University; Ph.D., Stanford University"
12,Angela Bahns,Assistant Professor of Psychology,,,"B.A., Pomona College; M.A., Ph.D., University of Kansas"
13,Merrill S.A. Baker-Médard,Visiting Lecturer in Environmental Studies,,,"B.A., Smith College; Ph.D., University of California (Berkeley)"
14,Lamia Balafrej,Instructor in Art,,,"M.A., University of Paris"
15,Amy Banzaert,Visiting Lecturer in Engineering,,,"B.S., M.S., Ph.D.,  Massachusetts Institute of Technology"
16,Daniela Bartalesi-Graf,Lecturer in Italian Studies,,,"B.A., Harvard University Extension School; M.A., Tufts University"
17,Tamar Barzel,Assistant Professor of Music,,,"B.M., Oberlin Conservatory of Music; M.A., Ph.D., University of Michigan"
18,Erin Royston Battat,Visiting Lecturer in English,,,"B.A., Georgetown University; A.M., Ph.D., Harvard University"
19,James Battat,Assistant Professor of Physics,,,"Sc.B., Brown University; A.M., Ph.D., Harvard University"
20,Deborah E. Bauer,Visiting Lecturer in Neuroscience,,,"B.A., Wellesley College; Ph.D., University of Michigan"
21,Wendy Hagen Bauer,Professor of Astronomy,,,"B.A., Mount Holyoke College; M.S., Ph.D., University of Hawaii"
22,Thomas J. Bauer,Senior Instructor in Physics Laboratory,,,"B.A., Wabash College; M.A., University of Idaho"
23,Connie Lynn Bauman,PERA Professor of the Practice,,,"B.S., Illinois State University; M.S., Arizona State University; Certificate, Indiana State University"
24,Barbara R. Beatty,Professor of Education,,,"A.B., Radcliffe College; Ed.M., Ed.D., Harvard University"
25,Rebecca Bedell,Associate Professor of Art,,,"B.A., Wellesley College; M.A., Ph.D., Yale University"
26,Melissa A. Beers,Instructor in Biological Sciences Laboratory,,,"B.S., University of New Hampshire; Ph.D., Cornell University"
27,Bridget Belgiovine,PERA Professor of the Practice,Director of Athletics,"Chair of Department of Physical Education, Recreation and Athletics","B.S., Trenton State College; M.Ed., Springfield College"
28,Barbara S. Beltz,Allene Lummis Russell Professor of Neuroscience,,,"B.A., Mount Holyoke College; M.S., Ph.D., Princeton University"
29,Robert S. Berg,Professor of Physics,,,"A.B., Princeton University; M.A., Ph.D., University of California (Berkeley)"
30,Alexander Berger,"Instructor in Physical Education, Recreation and Athletics",,,"B.A., Framingham State University; M.A., Canisius College"
31,Patricia Gray BermanA,Theodora L. and Stanley H. Feldberg Professor of Art,,,"B.A., Hampshire College; M.A., Ph.D., New York University"
32,Wendy Berry,PERA Assistant Professor of the Practice,,,"B.S., Brighton University"
33,James R. Besancon,Associate Professor of Geosciences,,,"B.S., Yale University; Ph.D., Massachusetts Institute of Technology"
34,Gurminder Kaur Bhogal,Associate Professor of Music,,,"B.Mus., Royal College; M.Mus., King's College; Ph.D., University of Chicago"
