,name,title,title2,title3,education
35,Frank L. BidartA2,Andrew W. Mellon Professor in the Humanities,Professor of English,,"B.A., University of California (Riverside); A.M., Harvard University"
36,Hélène Bilis,Assistant Professor of French,,,"B.A., Rutgers University; M.A., Ph.D., University of California (Berkeley)"
37,Laura Bossert-King,Senior Music Performance Faculty in Viola and Violin,,,"B.M.,  M.M., Eastman School of Music"
38,Kathleen Boyd,Senior Music Performance Faculty in Flute,,,"B.M., M.M., New England Conservatory of Music"
39,Daniel J. Brabander,Professor of Geosciences,,,"B.S., M.A., Binghamton University; Ph.D., Brown University"
40,Sheila P. Brachfeld-Child,Senior Lecturer in Psychology,"Director, Medical Professions Advising",,"B.A., Tufts University; M.A., Boston University; Ph.D., Brandeis University"
41,Kaća Bradonjić,Visiting Lecturer in Physics,,,"B.S., Northeastern University; M.A., Ph.D., Boston University"
42,Martin Alan BrodyA2,Catherine Mills Davis Professor of Music,,,"B.A., Amherst College; M.M., D.M.A., Yale University School of Music"
43,Kathleen Brogan,Associate Professor of English,,,"B.A., Queens College; M.A., M.Phil., Ph.D., Yale University"
44,Anne BrubakerA2,Lecturer in the Writing Program,,,"B.A., Dickinson College; M.A., University of Sussex (Brighton, England); Ph.D., University of Illinois (Urbana-Champaign)"
45,Heather Corbally Bryant,Visiting Lecturer in the Writing Program,,,"A.B., Harvard College; M.A., Ph.D., University of Michigan"
46,Charles BuA,"William R. Kenan, Jr. Professor of Mathematics",,,"B.S., M.S., Shanghai Jiao Tong University; M.S., Michigan State University; Ph.D., University of Illinois"
47,Emily A. Buchholtz,Gordon P. Lang and Althea P. Lang '26 Professor of Biological Sciences,,,"B.A., College of Wooster; M.A., University of Wisconsin; Ph.D., George Washington University"
48,Susan Buck,Instructor in Computer Science Laboratory,,,"B.A., University of North Carolina (Asheville); M.P.S., New York University (Tisch School of the Arts)"
49,Tom BurkeA,Professor of Political Science,,,"B.A., University of Minnesota (Minneapolis); M.A., Ph.D., University of California (Berkeley)"
50,Bryan E. Burns,Associate Professor of Classical Studies,,,"B.A., University of North Carolina; M.A., Ph.D., University of Michigan"
51,Kristin Butcher,Marshall I. Goldman Professor of Economics,,,"B.A., Wellesley College; M.S., London School of Economics; M.A., Ph.D., Princeton University"
52,William E. Cain,Mary Jewett Gaiser Professor of English,,,"B.A., Tufts University; M.A., Ph.D., Johns Hopkins University"
53,John S. Cameron,Professor of Biological Sciences,,,"B.S., College of William and Mary; M.S., Ph.D., University of Massachusetts (Amherst)"
54,Samantha Cameron,"Instructor in Physical Education, Recreation and Athletics",,,"B.A., San Jose State University; M.A., University of California (Los Angeles)"
55,Christopher Candland,Associate Professor of Political Science,,,"B.A., Haverford College; M.A., M.Phil., Ph.D., Columbia University"
56,George M. Caplan,Senior Instructor in Physics Laboratory,,,"B.A., Swarthmore College; S.M., Harvard University"
57,Monica Capobianco,PERA Assistant Professor of the Practice,,,"B.S., Wagner College; M.S., Boston College"
58,Linda Carli,Senior Lecturer in Psychology,,,"B.A., University of Connecticut; Ph.D., University of Massachusetts (Amherst)"
59,Angela C. Carpenter,Wellesley Faculty Assistant Professor of Cognitive and Linguistic Sciences,,,"B.A., Wellesley College; M.A., Ph.D., University of Massachusetts (Amherst)"
60,Dora Carrico-Moniz,Assistant Professor of Chemistry,,,"B.S., SUNY (Purchase College); M.S., Ph.D., Yale University"
61,Margaret Deutsch Carroll,Professor of Art,,,"B.A., Barnard College; A.M., Ph.D., Harvard University"
62,Kimberly Cassibry,Assistant Professor of Art,,,"B.A., Louisiana State University (Baton Rouge); M.A., University of Texas (Austin); Ph.D., University of California (Berkeley)"
63,Fernando Castanedo,Distinguished Visiting Associate Professor of Spanish,,,"B.A., M.A., Ph.D., Universidad Autonoma de Madrid"
64,Margaret Cezair-Thompson,Senior Lecturer in English,,,"B.A., Barnard College; M.A., New York University; Ph.D., City University of New York"
65,Gil Chalamish,Visiting Lecturer in Jewish Studies,,,"B.E.D., Beit Berl College; M.A., Boston College"
66,Clara S. Chan,Visiting Lecturer in Mathematics,,,"A.B., Harvard University; M.A., University of Chicago; Ph.D., Massachusetts Institute of Technology"
67,Fritz Chang,"Instructor in Physical Education, Recreation and Athletics",,,"B.S., Queens College; M.S., Ph.D., University of Massachusetts (Lowell)"
68,Stanley S. Chang,Professor of Mathematics,,,"B.A., University of California (Berkeley); M.A., Cambridge University (England); Ph.D., University of Chicago"
69,Jonathan M. Cheek,Professor of Psychology,,,"B.A., George Washington University; M.A., University of Texas (Austin); Ph.D., Johns Hopkins University"
70,Dai Chen,Senior Lecturer in Chinese,,,"B.A., Shanghai Teachers’ University; M.A., University of Iowa"
71,Stephen Chen,Assistant Professor of Psychology,,,"B.A., Rutgers University; Ph.D., University of California (Berkeley)"
72,Dan Chiasson,Associate Professor of English,,,"B.A., Amherst College; Ph.D., Harvard University"
73,Calvin T. Chin,"Instructor in Physical Education, Recreation and Athletics",,,
74,James David Christie,Wellesley College Organist,,,"B.A., Oberlin College; M.M.A., New England Conservatory of Music"
75,Courtney C. Coile,Professor of Economics,,,"A.B., Harvard College; Ph.D., Massachusetts Institute of Technology"
76,David Collins,Coach/Accompanist,,,"B.M., Western Michigan University (Kalamazoo); M.M., University of Wisconsin (Madison); Ph.D., New England Conservatory of Music"
77,Glorianne Collver-Jacobson,Senior Music Performance Faculty in Guitar and Lute,,,"B.A., University of California (Berkeley)"
78,Catia ConfortiniA,Assistant Professor of Peace and Justice Studies,,,"B.S.,Università degli Studi di Firenze; M.A., University of Notre Dame; Ph.D., University of Southern California"
79,Bevil R. Conway,Associate Professor of Neuroscience,,,"B.S., McGill University; M.M.Sc., Harvard Medical School; Ph.D., Harvard University"
80,Elizabeth T. Craft,Visiting Lecturer in Music,,,"B.A., College of William & Mary; M.A., University of Maryland; Ph.D., Harvard University"
81,Elena Tajima CreefA1,Professor of Women's and Gender Studies,,,"B.A., University of California (Riverside); M.A., University of California (Santa Barbara); Ph.D., University of California (Santa Cruz)"
82,Lee CubaA2,Professor of Sociology,,,"B.S., Southern Methodist University; M.A., M.Phil., Ph.D., Yale University"
83,Selwyn R. Cudjoe,Professor of Africana Studies,,,"B.A., M.A., Fordham University; Ph.D., Cornell University"
84,Lesley S.  Curtis,Mellon Postdoctoral Fellow in Comparative Literature,,,"B.A., University of North Carolina (Chapel Hill); M.A., Middlebury College; Ph.D., Duke University"
85,Thomas Orton Cushman,Deffenbaugh de Hoyos Carlson Professor in the Social Sciences,Professor of Sociology,,"B.A., Saint Michael's College; M.A., Ph.D., University of Virginia"
86,Brett Danaher,Assistant Professor of Economics,,,"B.S., Haverford College; Ph.D., University of Pennsylvania"
87,Veronica Darer,Senior Lecturer in Spanish,,,"M.A.T. School for International Training/World Learning; Ph.D., University of Florida"
88,Louise DarlingA,Knafel Assistant Professor of Natural Sciences,Assistant Professor of Biological Sciences,,"B.S., Johns Hopkins University; Ph.D., Rice University"
89,Venita Datta,Professor of French,,,"A.B., Bryn Mawr College; M.A., Ph.D., New York University"
90,Ophera A. Davis,Lecturer in Africana Studies,,,"B.S., M.S., Jackson State University; Ph.D., Saint Louis University"
91,Helena de Bres,Associate Professor of Philosophy,,,"B.A., Victoria University; M.A., Ph.D., Massachusetts Institute of Technology"
92,Richard Delacy,Visiting Lecturer in South Asia Studies,,,"B.A., University of Melbourne (Australia); M.A., Monash University (Australia); M.A., Ph.D., University of Chicago"
93,Elizabeth R. DeSombre,Camilla Chandler Frost Professor of Environmental Studies,,,"B.A., Oberlin College; Ph.D., Harvard University"
94,Christen Deveney,Assistant Professor of Psychology,,,"B.A., M.A., Ph.D., Harvard University"
95,Saurav Dhital,Visiting Lecturer in Astronomy,,,"B.A., Swarthmore College; M.S., Ph.D., Vanderbilt University"
96,Viriginia Gabriela Diaz,Music Instructor of Violin,,,"B.M., M.M., New England Conservatory of Music"
97,Alexander J. Diesl,Associate Professor of Mathematics,,,"B.A., M.A., Johns Hopkins University; Ph.D., University of California (Berkeley)"
98,Bonnie M. Dix,PERA Associate Professor of the Practice,,,"B.S., University of Vermont; M.S., University of Tennessee (Knoxville)"
99,Nicholas K. Doe,Senior Instructor in Chemistry Laboratory,,,"B.A., M.S., University of California (Santa Cruz); M.A., Stanford University"
100,Jocelyne L. Dolce,Instructor in Biological Sciences Laboratory,,,"B.Sc., M.Sc., University of Rhode Island"
101,Carlos G. DorrienA2,Professor of Art,,,"Montserrat School of Visual Art, Diploma in Sculpture"
102,Carol DoughertyA,Margaret E. Deffenbaugh and LeRoy T. Carlson Professor in Comparative Literature,Professor of Classical Studies,,"B.A., Stanford University; M.A., University of California (Santa Barbara); M.A., Ph.D., Princeton University"
103,Marion Dry,Senior Music Performance Faculty in Voice,,,"A.B., Harvard University; M.M., Northwestern University"
104,Theodore W. DucasA,Professor of Physics,,,"B.A., Yale University; Ph.D., Massachusetts Institute of Technology"
105,Geraldine O. Echebiri,Lecturer in Chemistry,,,"B.S., Goucher College; Ph.D., University of Maryland, College Park"
106,Kathryn Egizi,"Instructor in Physical Education, Recreation and Athletics",,,"B.S., Union College"
107,Sylvaine V. Egron-Sparrow,Senior Lecturer in French,,,"Licence de Lettres Modernes, Université de Haute Bretagne; Maîtrise de Français et de Linguistique, Université de Vincennes"
108,Sharon K. ElkinsA,Professor of Religion,,,"B.A., Stetson University; M.T.S., Harvard Divinity School; Ph.D., Harvard University"
109,David EllerbyA,Associate Professor of Biological Sciences,,,"B.S., University of Manchester, UK; Ph.D., University of Leeds, UK"
110,Susan H. Ellison,Assistant Professor of Anthropology,,,"B.A, Washington University; M.T.S., Harvard Divinity School; A.M., Ph.D., Brown University"
111,Donald E. ElmoreA2,Associate Professor of Chemistry,,,"B.A., Grinnell College; Ph.D., California Institute of Technology"
112,Alla L. Epsteyn,Senior Lecturer in Russian,,,"M.A., Moscow University; Ph.D., Academy of Sciences Institute of World History (Russia)"
113,Roxanne Euben,Ralph Emerson and Alice Freeman Palmer Professor of Political Science,,,"B.A., Wesleyan Universityl; M.A., Ph.D., Princeton University"
114,Oscar E. Fernandez,Assistant Professor of Mathematics,,,"B.A., B.S., University of Chicago; Ph.D., University of Michigan (Ann Arbor)"
115,Daniel FetterA1,Assistant Professor of Economics,,,"B.A., Wesleyan University; M.Sc., London School of Economics and Political Science; Ph.D., Harvard University"
116,Paul FisherA2,Associate Professor of American Studies,,,"A.B., Harvard College; B.A., M.A., Trinity College (Cambridge); M.A., M.Phil., Ph.D., Yale University"
117,Nolan T. Flynn,Associate Professor of Chemistry,,,"B.A., St. Olaf College; Ph.D., University of Illinois"
118,Claire Fontijn,Professor of Music,,,"B.A., Oberlin College; Certificate, The Royal Conservatory of The Hague; M.A., Ph.D., Duke University"
119,Richard G. FrenchA,Louise Sherwood McDowell and Sarah Frances Whiting Professor of Astrophysics,Professor of Astronomy,,"B.A., M.S., Ph.D., Cornell University"
120,Alice T. Friedman,Grace Slack McNeil Professor of American Art,Professor of Art,,"A.B., Radcliffe College; M.Phil., University of London; Ph.D., Harvard University"
121,Gale Fuller,Senior Music Performance Faculty in Voice,,,"B.M., Peabody Conservatory of Music; M.M., New England Conservatory of Music"
122,Jerome Fung,Lecturer in Physics,,,"B.A., Swarthmore College; A.M., Ph.D., Harvard University"
123,Fabienne Furt,Visiting Lecturer in Biological Sciences,,,"B.S., M.S., Ph.D., University of Bordeaux"
124,Charlene Galarneau,Assistant Professor of Women's and Gender Studies,,,"B.A., University of Massachusetts; M.A.R., Iliff School of Theology; A.M., Ph.D., Harvard University"
125,Marie-Cécile Ganne-Schiermeier,Lecturer in French,,,"M.A., Ph.D., Boston University"
126,Corinne A. Gartner,Assistant Professor of Philosophy,,,"B.A., M.A., Stanford University; Ph.D., Princeton University"
127,Elena Gascon-Vera,Professor of Spanish,,,"Licenciatura, University of Madrid; M.Phil., Ph.D., Yale University"
128,Barbara Geller,Professor of Religion,,,"A.B., Princeton University; M.A., Ph.D., Duke University"
129,C. Pat GierschA1,Professor of History,,,"B.A., Dartmouth College; Ph.D., Yale University"
130,Beth Gifford,"Instructor in Physical Education, Recreation and Athletics",,,"B.S., Northeastern University"
131,Kathleen W. Gilbert,Instructor in Geosciences Laboratory,,,"B.A., Smith College; M.S., University of Miami"
132,Catherine Keane Gilhuly,Associate Professor of Classical Studies,,,"B.A., Wesleyan University; M.A., Ph.D., University of California (Berkeley)"
133,Tracy R. Gleason,Professor of Psychology,,,"A.B., Dartmouth College; Ph.D., University of Minnesota"
134,Sharon M. H. Gobes,Assistant Professor of Neuroscience,,,"B.Sc., M.Sc., Ph.D., Ultrecht University (The Netherlands)"
135,Stacie Goddard,Jane Bishop '51 Associate Professor of Political Science,,,"A.B., University of Chicago; M.A., M.Phil., Ph.D., Columbia University"
136,Kariann E. Goldschmitt,Assistant Professor of Music,,,"B.A., University of California (Los Angeles); M.A., University of California (San Diego); Ph.D., University of California (Los Angeles)"
137,Octavio R. Gonazalez,Assistant Professor of English,,,"B.A., Swarthmore College; M.A., Pennsylvania State University; M.A., Ph.D., Rutgers University"
138,Katherine Goodall,Botany Fellow,,,"B.A., Washington University; M.S., University of MIchigan; Ph.D., University of Vermont"
139,Robert Goree,Assistant Professor of Japanese,,,"B.A., Westmont College; M.A., Columbia University; M.A., M.Phil., Ph.D., Yale University"
140,John GossA1,Assistant Professor of Biological Sciences,,,"B.S., Rhodes College; M.Phil., Ph.D., Yale University"
141,Lisa GrahamA2,Evelyn Barry Director of the Choral Program,Lecturer in Music,,"B.A., Sonoma State College; M.M., D.M.A., University of Southern California"
142,CoriEllen Grande,"Instructor in Physical Education, Recreation and Athletics",,,
143,Katherine Grandjean,Assistant Professor of History,,,"B.A., Yale University; Ph.D., Harvard University"
144,Laura Grattan,Assistant Professor of Political Science,,,"B.A., College of William and Mary; M.A., Ph.D., Duke University"
145,Nikki A. Greene,Assistant Professor of Art,,,"B.A., Wesleyan University; M.A., Ph.D., University of Delaware"
146,Brenna W. Greer,Knafel Assistant Professor of Social Sciences,Assistant Professor of History,,"B.A., Beloit College; M.A., Ph.D., University of Wisconsin (Madison)"
147,Alden GriffithA,Assistant Professor of Environmental Studies,,,"B.A., Wesleyan University; Ph.D., University of California (Santa Cruz)"
148,Simon Grote,Assistant Professor of History,,,"A.B., Harvard University; M.Phil., Cambridge University; M.A., Ph.D., University of California (Berkeley)"
149,Scott E. GuntherA1,Associate Professor of French,,,"B.A., Cornell University; D.E.A., Ecole Normale Superieure & Ecole des Hautes Etudes en Sciences Sociales; J.D., Ph.D., New York University"
150,Evelina GužauskytėA2,Associate Professor of Spanish,,,"B.A., Middlebury College; M.A., M.Phil., Ph.D., Columbia University"
151,Koichi Hagimoto,Assistant Professor of Spanish,,,"B.A., Soka University of America; M.A., Ph.D., University of Pittsburgh"
152,David R. Haines,Associate Professor of Chemistry,,,"B.A., Earlham College; Ph.D., University of Illinois (Urbana)"
153,Nadya S. HajjA,Assistant Professor of Political Science,,,"B.A., University of Virginia; M.A., Ph.D., Emory University"
154,Mona Lambracht Hall,Senior Instructor in Chemistry Laboratory,,,"B.A., Russell Sage College; Ph.D., Tufts University"
155,Nancy Abraham HallA2,Senior Lecturer in Spanish,,,"B.A., Smith College; M.A., Ph.D., Harvard University"
156,Neal Louis Hampton,"Conductor, Brandeis-Wellesley Orchestra",,,"B.M., Eastman School of Music; M.M., Boston University"
157,Eunice Han,Visiting Lecturer in Economics,,,"B.A., University of California (Los Angeles); M.A., Ph.D., Harvard University"
158,Hahrie HanA,Associate Professor of Political Science,,,"B.A., Harvard University; M.A., Ph.D., Stanford University"
159,Sarah E. Hankins,Visiting Lecturer in American Studies,,,"B.A., Smith College; Ph.D., Harvard University"
160,Anjeana K. Hans,Associate Professor of German,,,"A.B., M.A., Ph.D., Harvard University"
161,Thomas S. Hansen,Professor of German,,,"B.A., M.A., Tufts University; Ph.D., Harvard University"
162,Marianne Harkless,"Instructor in Physical Education, Recreation and Athletics",,,
163,David Harris,Music Performance Faculty in Jazz Trombone,,,"B.M., New England Conservatory of Music"
164,Gary C. HarrisA1,Professor of Biological Sciences,,,"B.S., Bates College; M.S., Ph.D., University of Massachusetts (Boston)"
165,Jane Harrison,Music Performance Faculty in Oboe,,,"B.M., Ohio Wesleyan University; M.M., Manhattan School of Music"
166,Bunny Harvey,Elizabeth Christy Kopf Professor of Art,,,"B.F.A., M.F.A., Rhode Island School of Design"
167,Kenneth S. Hawes,Senior Lecturer in Education,,,"B.S., Massachusetts Institute of Technology; Ed.M., Ed.D., Harvard University"
168,David P. Hawkins,Associate Professor of Geosciences,,,"B.A., Clark University; M.A., George Washington University; Ph.D., Massachusetts Institute of Technology"
169,Gretchen Hayden-Ruckert,"Instructor in Physical Education, Recreation and Athletics",,,
170,Michael J. HearnA1,Professor of Chemistry,,,"B.A., Rutgers University; M.S., M.Phil., Ph.D., Yale University"
171,Simone Helluy,Senior Instructor in Biological Sciences Laboratory,,,"Maîtrise des Sciences, Doctorat, USTL (France); Ph.D., University of Alberta (Canada)"
172,Beth Ann Hennessey,Professor of Psychology,,,"A.B., Brown University; M.Ed., Lesley College; Ph.D., Brandeis University"
173,Mark S. Henry,Senior Music Performance Faculty in Double Bass,,,"B.M., Berklee College of Music; M.M., University of Massachusetts (Lowell)"
174,Jean Herbst,Instructor in Computer Science Laboratory,,,"B.S., University of Wisconsin (Madison); M.S., University of Rhode Island"
175,Stephen  Hermes,Visiting Lecturer in Mathematics,,,"B.S., B.A., Syracuse University; Ph.D., Brandeis University"
176,Rosanna Hertz,Class of 1919 – 50th Reunion Professor of Sociology and Women’s and Gender Studies,,,"B.A., Brandeis University; M.A., Ph.D., Northwestern University"
177,Alison Hickey,Associate Professor of English,,,"A.B., Harvard and Radcliffe Colleges; M.A., M.Phil., Ph.D., Yale University"
178,Monica R. Higgins,Lecturer in Environmental Studies,,,"B.S., University of Pittsburgh; M.S., Ph.D., University of Michigan"
179,Ellen C. HildrethA,Professor of Computer Science,,,"B.S., M.S., Ph.D., Massachusetts Institute of Technology"
180,Eric Hilt,Associate Professor of Economics,,,"A.B., Occidental College; M.Phil., Ph.D., Columbia University"
181,Philip Steven Hirschhorn,Professor of Mathematics,,,"B.S., Brooklyn College of City University of New York; Ph.D., Massachusetts Institute of Technology"
182,Thomas Peter Hodge,Professor of Russian,,,"B.A., Pomona College; M.A., Oxford University; A.M., Ph.D., Stanford University"
183,Randall Hodgkinson,Music Performance Faculty in Piano,,,"B.M., M.M., New England Conservatory of Music"
184,Soo HongA1,Associate Professor of Education,,,"B.A., M.T., University of Virginia; Ed.D., Harvard University"
185,Greg Hopkins,Music Performance Faculty in Jazz Trumpet,,,
186,Janie E. Howland,Lecturer in Theatre Studies,,,"B.A., University of Pennsylvania; M.F.A., Brandeis University"
187,Yue Hu,Associate Professor of Physics,,,"B.S., Beijing University; M.S., Ph.D., Cornell University"
188,Adrian Huang,Instructor in Chemistry Laboratory,,,"B.A., Xiantang University; Ph.D., University of California (Los Angeles)"
189,Jeff Hughes,Lecturer in Biological Sciences,,,"B.A., Boston University; M.S., University of Washington; Ph.D., University of Rhode Island"
190,Nora Hussey,"Director, Wellesley College Theatre","Director, Theatre Studies Program",,"B.A., Mundelein College"
191,Seth Hussey,Novice Crew Coach,,,"B.S., St. Lawrence University; M.S., Purdue University"
192,Antonio M.A. Igrejas,Mellon Foundation Lecturer in Portuguese,,,"B.A., University of Massachusetts (Dartmouth); M.A., Ph.D., University of Massachusetts (Amherst)"
193,Jonathan B. Imber,Jean Glasscock Professor of Sociology,,,"B.A., Brandeis University; M.A., Ph.D., University of Pennsylvania"
194,Seok Bae Jang,Lecturer in East Asian Languages & Cultures,,,"B.A., M.A., Ph.D., Yonsei University"
195,Michael JeffriesA1,Associate Professor of American Studies,,,"A.B., Swarthmore College; Ph.D., Harvard University"
196,Philip Jennings,PERA Assistant Professor of the Practice,,,"B.A., Hamilton College; M.Ed., The College of New Jersey"
197,Laura Jeppesen,Senior Music Performance Faculty in Viola da Gamba,,,"B.A., Wheaton College; M.M., Yale University"
198,Jeannine Johnson,Lecturer in the Writing Program,,,"B.A., Haverford College; Ph.D., Yale University"
199,Jenny Olivia Johnson,Assistant Professor of Music,,,"B.A., Barnard College; M.M., Manhattan School of Music; Ph.D., New York University"
200,Kristina Niovi Jones,"Director, Wellesley College Botanic Gardens",Adjunct Assistant Professor of Biological Sciences,,"B.S., Stanford University; Ph.D., University of California"
201,William A. Joseph,Professor of Political Science,,,"B.A., Cornell University; M.A., Ph.D., Stanford University"
202,Joseph P. JoyceA,M. Margaret Ball Professor of International Relations,Professor of Economics,,"B.S.F.S., Georgetown University; M.A., Ph.D., Boston University"
203,Marion R. Just,Professor of Political Science,,,"B.A., Barnard College; M.A., Johns Hopkins University; Ph.D., Columbia University"
204,Stella Kakavouli,Senior Instructor in Computer Science Laboratory,,,"B.S., National Technical University (Athens, Greece); M.S., Brown University"
205,Victoria Kalevich,Master's Swim Coach,Assistant Equipment Coordinator,,"B.S., M.S., Northeastern University"
206,Amy A. Kalia,Visiting Lecturer in Psychology,,,"B.A., B.S., University of Texas, Austin; Ph.D., University of Minnesota, Twin Cities"
207,Lidwien KapteijnsA,Elizabeth Kimball Kendall and Elisabeth Hodder Professor of History,,,"B.A., Universiteit van Amsterdam; M.A., University of London; Doctoraal, Ph.D., Universiteit van Amsterdam"
208,Anastasia Karakasidou,Professor of Anthropology,,,"B.A., College of Wooster; M.A., Brandeis University; M.A., Bryn Mawr College; M.Phil., Ph.D., Columbia University"
209,Margaret Keane,Professor of Psychology,,,"A.B., Harvard College; Ph.D., Massachusetts Institute of Technology"
210,David KelleyA,Assistant Professor of Art,,,"B.A., Trinity College; M.F.A., University of California (Irvine)"
211,Megan Kerr,Professor of Mathematics,,,"B.A., Wellesley College; Ph.D., University of Pennsylvania"
212,Pinar Keskin-BonattiA2,Assistant Professor of Economics,,,"B.A., Bilkent University; M.A., M. Phil., Ph.D., Yale University"
213,Tess L. Killpack,Instructor in Biological Sciences Laboratory,,,"B.A., Kalamazoo College; M.A., Loyola Marymount University; Ph.D., University of Wisconsin"
214,Rebecca  Kimball,PERA Assistant Professor of the Practice,,,"B.S., University of Southern Maine; M.S., Springfield College"
215,Julia King,PERA Assistant Professor of the Practice,,,"B.A., Bowdoin College; M.A., Trinity College"
216,Steve Kirby,Music Performance Faculty in Jazz Guitar,,,"B.A., Berklee College of Music; M.M. University of Massachusetts (Amherst)"
217,Vanja Klepac-Ceraj,Assistant Professor of Biological Sciences,,,"B.S., Beloit College; Ph.D., Massachusetts Institute of Technology"
218,Ariana Klinkov,"Instructor in Physical Education, Recreation and Athletics",,,"B.A., SUNY Binghamton; M.A., Northeastern University"
219,Nicholas Knouf,Assistant Professor of Cinema and Media Studies,,,"B.S., California Institute of Technology; S.M., Massachusetts Institute of Technology; Ph.D., Cornell University"
220,Yu Jin Ko,Professor of English,,,"B.A., Columbia University; M.A., Cambridge University (Clare College); Ph.D., Yale University"
221,T. James Kodera,Professor of Religion,,,"B.A., Carleton College; M.A., M.Phil., Ph.D., Columbia University"
222,Philip L. Kohl,Kathryn Wasserman Davis Professor of Slavic Studies,Professor of Anthropology,,"B.A., Columbia University; A.M., Ph.D., Harvard University"
223,Martina Kӧniger,Adjunct Assistant Professor of Biological Sciences,,,"Diploma, Ph.D., University of Würzburg (Germany)"
224,Joel Krieger,Norma Wilentz Hess Professor of Political Science,,,"B.A., Yale College; Ph.D., Harvard University"
225,Jennifer A. Kroll,PERA Associate Professor of the Practice,,,"B.S., Northwestern University; M.S., University of Kentucky"
