,name,title,title2,title3,education
0,Rachid Aadnani,Lecturer in Middle Eastern Studies,,,"B.A., Universite Moulay Ismail (Morocco); M.A., Dartmouth College; Ph.D., Binghamton University"
1,Ama Baafra Abeberese,Assistant Professor of Economics,,,"B.A., Wellesley College; M.A., M.Phil., Ph.D., Columbia University"
2,Kris Adams,Senior Music Performance Faculty in Vocal Jazz,,,"B.M., Berklee College of Music; M.M., New England Conservatory of Music"
3,Marjorie AgosinA2,Luella LaMer Slaner Professor in Latin American Studies,Professor of Spanish,,"B.A., University of Georgia; M.A., Ph.D., Indiana University"
4,Eliko Akahori,Music Performance Faculty in Piano,"Director, Music Performance Program",,"B.M., Kunitachi College of Music (Japan); M.M., D.M.A., New England Conservatory of Music"
5,Robin M. Akert,Professor of Psychology,,,"B.A., University of California (Santa Cruz); M.A., Ph.D., Princeton University"
6,Fred Aldrich,Music Performance Faculty in French Horn,,,"B.M., New England Conservatory of Music"
7,Sarah M. AllenA2,Associate Professor of Chinese,,,"A.B., Harvard College; M.A., University of Michigan; Ph.D., Harvard University"
8,Scott D. Anderson,Lecturer in Computer Science,,,"B.S., Yale University; M.S., Ph.D., University of Massachusetts (Amherst)"
9,Margaret Angelini,Carillon Director,,,"B.A., Wellesley College; M.M., New England Conservatory"
10,Diego Arciniegas,Senior Lecturer in Theatre Studies,,,"B.A., Williams College"
11,Justin Armstrong,Lecturer in Writing and Anthropology,,,"B.A., Wilfred Laurier University (Waterloo, ON); M.A., Ph.D., McMaster University (Hamilton, ON)"
12,Chris R. ArumainayagamA2,Professor of Chemistry,,,"A.B., Harvard University; Ph.D., Stanford University"
13,Angela Bahns,Assistant Professor of Psychology,,,"B.A., Pomona College; M.A., Ph.D., University of Kansas"
14,Lamia Balafrej,Assistant Professor of Art,,,"M.A., University of Paris; Ph.D., Universite de Provence"
15,Amy Banzaert,Lecturer in Engineering,,,"B.S., M.S., Ph.D,  Massachusetts Institute of Technology"
16,Daniela Bartalesi-Graf,Lecturer in Italian Studies,,,"B.A., Harvard University Extension School; M.A., Tufts University"
17,Christine Bassem,Lecturer in Computer Science,,,"B.S., Ain Shams University; M.S., German University in Cairo"
18,Erin Royston Battat,Visiting Lecturer in the Writing Program,,,"B.A., Georgetown University; A.M., Ph.D., Harvard University"
19,James BattatA,Assistant Professor of Physics,,,"Sc.B., Brown University; A.M., Ph.D., Harvard University"
20,Deborah E. Bauer,Lecturer in Neuroscience,,,"B.A., Wellesley College; Ph.D., University of Michigan"
21,Connie Lynn Bauman,PERA Professor of the Practice,,,"B.S., Illinois State University; M.S., Arizona State University; Certificate, Indiana State University"
22,Barbara R. Beatty,Professor of Education,,,"A.B., Radcliffe College; Ed.M., Ed.D., Harvard University"
23,Rebecca Bedell,Associate Professor of Art,,,"B.A., Wellesley College; M.A., Ph.D., Yale University"
24,Melissa A. Beers,Instructor in Biological Sciences Laboratory,,,"B.S., University of New Hampshire; Ph.D., Cornell University"
25,Bridget BelgiovineA1,PERA Professor of the Practice,Director of Athletics,"Chair of Department of Physical Education, Recreation and Athletics","B.S., Trenton State College; M.Ed., Springfield College"
26,Barbara S. Beltz,Allene Lummis Russell Professor of Neuroscience,,,"B.A., Mount Holyoke College; M.S., Ph.D., Princeton University"
27,Michal Ben-Josef Hirsch,Visiting Lecturer in Political Science,,,"B.A., Tel-Aviv University; Ph.D., Massachusetts Institute of Technology"
28,Robert S. Berg,Professor of Physics,,,"A.B., Princeton University; M.A., Ph.D., University of California (Berkeley)"
29,Alexander Berger,"Instructor in Physical Education, Recreation and Athletics",,,"B.A., Framingham State University; M.A., Canisius College"
30,Patricia Gray Berman,Theodora L. and Stanley H. Feldberg Professor of Art,,,"B.A., Hampshire College; M.A., Ph.D., New York University"
31,Ashley Bernstein,"Instructor in Physical Education, Recreation and Athletics",,,"B.S., Southern New Hampshire University"
32,Wendy Berry,PERA Assistant Professor of the Practice,,,"B.S., Brighton University"
33,James R. Besancon,Associate Professor of Geosciences,,,"B.S., Yale University; Ph.D., Massachusetts Institute of Technology"
34,Gurminder Kaur Bhogal,Associate Professor of Music,,,"BMus(Hons), Royal College of Music; M.Mus., King’s College, University of London; Ph.D., University of Chicago"
