,name,title,title2,title3,education
233,Layli Maparyan,Professor of Africana Studies,"Katherine Stone Kaufmann ‘67 Executive Director,  Wellesley Centers for Women",,"B.A., Spelman College; M.S., Penn State University; Ph.D., Temple University"
234,Stephen Anthony Marini,Elisabeth Luce Moore Professor of Christian Studies,Professor of Religion,,"B.A., Dickinson College; Ph.D., Harvard University"
235,Louise Marlow,Professor of Religion,,,"B.A., Cambridge University; M.A., Ph.D., Princeton University"
236,Nancy Marshall,Adjunct Associate Professor of Women’s and Gender Studies,"Senior Research Scientist, Wellesley Centers for Women",,"B.A., Oberlin College; M.A., University of Connecticut (Storrs); Ed.D., Harvard University"
237,Lance Alexander Martin,Senior Music Performace Faculty in Jazz Flute,,,
238,Paul Martorelli,Visiting Lecturer in Political Science,,,"B.A., University of San Francisco; M.A., Ph.D., University of California (Berkley)"
239,Catherine Masson,Professor of French,,,"Licence, Maîtrise, Université de Haute Bretagne (Rennes); Ph.D., University of Michigan (Ann Arbor)"
240,Susie Masters,"Instructor in Physical Education, Recreation and Athletics",,,
241,Irene Mata,Barbara Morris Caspersen Associate Professor of Humanities,Associate Professor of Women’s and Gender Studies,,"B.A., M.A., New Mexico State University; Ph.D., University of California (San Diego)"
242,Katherine Matasy,Senior Music Performance Faculty in Clarinet and Classical Saxophone,,,"B.A., M.M.A., New England Conservatory of Music"
243,Y. Tak Matsusaka,Professor of History,,,"B.A., Brandeis University; M.A., Ph.D., Harvard University"
244,Julie Ann Matthaei,Professor of Economics,,,"B.A., University of Michigan (Ann Arbor); M.A., M.Phil., Ph.D., Yale University"
245,Erich Matthes,Assistant Professor of Philosophy,,,"B.A., Yale University; Ph.D., University of California (Berkeley)"
246,Jaclyn Hatala Matthes,Assistant Professor of Biological Sciences,,,"A.B., Harvard University; Ph.D., University of California (Berkeley)"
247,Adam G. Matthews,Lecturer in Biological Sciences,,,"A.B., Ph.D., Harvard University"
248,Heather Rose Mattila,Associate Professor of Biological Sciences,,,"B.Sc., Ph.D., University of Guelph (Ontario, Canada)"
249,Deborah C. Matzner,Assistant Professor of Anthropology,,,"B.A., Columbia University; M.A., Ph.D., New York University"
250,Peter Mawhorter,Instructor in Computer Science Laboratory,,,"B.S., Harvey Mudd College; Ph.D. University of California (Santa Cruz)"
251,Jacon Mayer,"Instructor in Physical Education, Recreation and Athletics",,,"B.A., Wesleyan University"
252,Tracy McAskill,Lecturer in Physics,,,"B.S., Texas Tech University; M.S., Ph.D., Tufts University"
253,Amanda M. McCarthy,Senior Instructor in Chemistry Laboratory,,,"B.S., M.S., Syracuse University"
254,Samuel McCauley,Postdoctoral Fellow in Computer Science,,,"B.S., Tufts University; Ph.D., Stony Brook University"
255,Leo A. McDonnell,Accompanist/Coach in Music,,,
256,Patrick J. McEwanA,Professor of Economics,,,"B.A., University of Illinois (Urbana-Champaign); M.A., Ph.D., Stanford University"
257,Phyllis McGibbon,Elizabeth Christy Kopf Professor of Art,,,"B.F.A., M.F.A., University of Wisconsin (Madison)"
258,Tracy L. McGinnis,Senior Music Performance Faculty in Bassoon,,,"B.M.A.S., University of Delaware; M.M., New England Conservatory of Music"
259,Mary Kate McGowan,Margaret Clapp ‘30 Distinguished Alumna Professor of Philosophy,,,"B.A., Wellesley College; M.A., Ph.D., Princeton University"
260,Alison G. McIntyre,Virginia Onderdonk ‘29 Professor of Philosophy,,,"B.A., M.A., Tufts University; Ph.D., Princeton University"
261,Robin McKnight,Professor of Economics,,,"B.A., Amherst College; Ph.D., Massachusetts Institute of Technology"
262,Kim Katris McLeod,Professor of Astronomy,,,"B.A., Cornell University; Ph.D., University of Arizona"
263,Craig McNutt,Senior Music Performance  Faculty in Percussion,,,"B.M., Hartt School of Music; M.M., Yale University; D.M.A., New England Conservatory of Music"
264,James Messina,Freedom Project Postdoctoral Fellow,,,"B.A., Wagner College; M.A., Georgia State University; Ph.D., University of San Diego"
265,P. Takis Metaxas,Professor of Computer Science,"Faculty Director, Madeleine Korbel Albright Institute for Global Affairs",,"B.Sc., University of Athens (Greece); Ph.D., Dartmouth College"
266,Susan L. Meyer A1,Professor of English,,,"B.A., Johns Hopkins University; M.A., University of California (Los Angeles); M.A., M.Phil., Ph.D., Yale University"
267,Ethel Mickey,Visiting Lecturer in Sociology,,,"B.A., Vanderbilt University; M.A., Ph.D., Northeastern University"
268,Alexandra Miller,Visiting Lecturer in Physics,,,"B.S., San Francisco State University; M.A., Ph.D., University of California (Santa Barbara)"
269,Cercie Miller,Senior Music Performance Faculty in Jazz Saxophone,,,"Director, Wellesley BlueJazz"
270,Elizabeth Minor,Lecturer in Anthropology,,,"B.A., Wellesley College; M.S., Ph.D., University of California (Berkeley)"
271,Julia Hendrix Miwa,Associate Professor of Chemistry,,,"B.A., Haverford College; Ph.D., Massachusetts Institute of Technology"
272,Katrin Monecke,Associate Professor of Geosciences,,,"B.S., M.S., University of Hannover (Germany); Ph.D., Institute of Technology (Zurich, Switzerland)"
273,Katharine H.S. Moon,Edith Stix Wasserman Professor of Asian Studies,Professor of Political Science,,"A.B., Smith College; M.A., Ph.D., Princeton University"
274,Elizabeth Mooney,Visiting Lecturer in Art,,,"B.F.A., Art Institute of Boston; M.F.A., California College of the Arts (San Francisco)"
275,Codruţa Morari,Associate Professor of Cinema & Media Studies and French,,,"B.A., Babes-Bolyai University (Romania), B.A., M.A., Ph.D., University of Paris III"
