,name,title,title2,title3,education
0,Rachid Aadnani,Lecturer in Middle Eastern Studies,,,"B.A., Universite Moulay Ismail (Morocco); M.A., Dartmouth College; Ph.D., Binghamton University"
1,Ama Baafra AbebereseA1,Assistant Professor of Economics,,,"B.A., Wellesley College; M.A., M.Phil., Ph.D., Columbia University"
2,Katherine Adams,"Instructor in Physical Education, Recreation and Athletics",,,"B.S., Nazareth College; MS., University of Massachusetts (Boston)"
3,Kris Adams,Senior Music Performance Faculty in Vocal Jazz,,,"B.M., Berklee College of Music; M.M., New England Conservatory of Music"
4,Marjorie Agosin,Professor of Spanish,,,"B.A., University of Georgia; M.A., Ph.D., Indiana University"
5,Eliko Akahori,Music Performance Faculty in Piano,"Director, Music Performance Program",,"B.M., Kunitachi College of Music (Japan); M.M., D.M.A., New England Conservatory of Music"
6,Robin M. Akert,Professor of Psychology,,,"B.A., University of California (Santa Cruz); M.A., Ph.D., Princeton University"
7,Fred Aldrich,Music Performance Faculty in French Horn,,,"B.M., New England Conservatory of Music"
8,Sarah M. AllenA1,Associate Professor of Chinese,,,"A.B., Harvard College; M.A., University of Michigan; Ph.D., Harvard University"
9,Scott D. Anderson,Lecturer in Computer Science,,,"B.S., Yale University; M.S., Ph.D., University of Massachusetts (Amherst)"
10,Margaret Angelini,Carillon Director,,,"B.A., Wellesley College; M.M., New England Conservatory"
11,Andrew Arceci,"Director, Collegium Musicum",,,"B.M., John Hopkins University; M.M., The Juilliard School; M.S.T., University of Oxford"
12,Diego Arciniegas,Senior Lecturer in Theatre Studies,,,"B.A., Williams College"
13,Justin Armstrong,Lecturer in Writing and Anthropology,,,"B.A., Wilfred Laurier University (Waterloo, ON); M.A., Ph.D., McMaster University (Hamilton, ON)"
14,Chris R. Arumainayagam,Professor of Chemistry,,,"A.B., Harvard University; Ph.D., Stanford University"
15,Angela J. Bahns,Assistant Professor of Psychology,,,"B.A., Pomona College; M.A., Ph.D., University of Kansas"
16,Lamia BalafrejA,Assistant Professor of Art,,,"M.A., University of Paris; Ph.D., Universite de Provence"
17,Amy Banzaert,Lecturer in Engineering,Director of Engineering Studies,,"B.S., M.S., Ph.D,  Massachusetts Institute of Technology"
18,Daniela Bartalesi-Graf,Lecturer in Italian Studies,,,"B.A., Harvard University Extension School; M.A., Tufts University"
19,Christine Bassem,Lecturer in Computer Science,,,"B.S., Ain Shams University; M.S., German University in Cairo; Ph.D., Boston University"
20,Erin Royston Battat,Visiting Lecturer in the Writing Program,,,"B.A., Georgetown University; A.M., Ph.D., Harvard University"
21,James Battat,Assistant Professor of Physics,,,"Sc.B., Brown University; A.M., Ph.D., Harvard University"
22,Deborah E.  BauerA1,Lecturer in Neuroscience,,,"B.A., Wellesley College; Ph.D., University of Michigan"
23,Connie Lynn Bauman,PERA Professor of the Practice,,,"B.S., Illinois State University; M.S., Arizona State University; Certificate, Indiana State University"
24,Barbara R. Beatty,Professor of Education,,,"A.B., Radcliffe College; Ed.M., Ed.D., Harvard University"
25,Rebecca B. BedellA,Associate Professor of Art,,,"B.A., Wellesley College; M.A., Ph.D., Yale University"
26,Melissa A. Beers,Senior Instructor in Biological Sciences Laboratory,,,"B.S., University of New Hampshire; Ph.D., Cornell University"
27,Bridget Belgiovine,PERA Professor of the Practice,Director of Athletics,"Chair of Department of Physical Education, Recreation and Athletics","B.S., Trenton State College; M.Ed., Springfield College"
28,Todd Belt,Visiting Lecturer in Political Science,,,"B.A., University of California (Irvine); M.A., Ph.D., University of Southern California"
29,Barbara S. BeltzA1,Allene Lummis Russell Professor of Neuroscience,,,"B.A., Mount Holyoke College; M.S., Ph.D., Princeton University"
30,Robbie Berg,Professor of Physics,,,"A.B., Princeton University; M.A., Ph.D., University of California (Berkeley)"
31,Patricia Gray Berman,Theodora L. and Stanley H. Feldberg Professor of Art,,,"B.A., Hampshire College; M.A., Ph.D., New York University"
32,Ashley Bernstein,"Instructor in Physical Education, Recreation and Athletics",,,"B.S., Southern New Hampshire University"
33,Wendy Anne Berry,PERA Assistant Professor of the Practice,,,"B.S., Brighton University"
34,James R. Besancon,Associate Professor of Geosciences,,,"B.S., Yale University; Ph.D., Massachusetts Institute of Technology"
35,Gurminder Kaur Bhogal,Associate Professor of Music,,,"B.Mus(Hons), Royal College of Music; M.Mus., King’s College, University of London; Ph.D., University of Chicago"
36,Frank L. Bidart,Andrew W. Mellon Professor in the Humanities,Professor of English,,"B.A., University of California (Riverside); A.M., Harvard University"
37,Héléne Bilis,Associate Professor of French,,,"B.A., Rutgers University; M.A., Ph.D., University of California (Berkeley)"
38,Laura Bossert-KingA1,Senior Music Performance Faculty in Viola and Violin,,,"B.M., M.M., Eastman School of Music"
39,Kathleen A. Boyd,Senior Music Performance Faculty in Flute,,,"B.M., M.M., New England Conservatory of Music"
40,Daniel J. Brabander,Professor of Geosciences,,,"B.S., M.A., Binghamton University; Ph.D., Brown University"
41,Martin Alan Brody,Catherine Mills Davis Professor of Music,,,"B.A., Amherst College; M.M., D.M.A., Yale University School of Music"
42,Kathleen Brogan,Associate Professor of English,,,"B.A., Queens College; M.A., M.Phil., Ph.D., Yale University"
43,Anne Montgomery Brubaker,Lecturer in the Writing Program,,,"B.A., Dickinson College; M.A., University of Sussex (Brighton, England); Ph.D., University of Illinois (Urbana-Champaign)"
44,Heather Corbally Bryant,Visiting Lecturer in the Writing Program,,,"A.B., Harvard College; M.A., Ph.D., University of Michigan"
45,Charles Qiyue Bu,"William R. Kenan, Jr. Professor of Mathematics",,,"B.S., M.S., Shanghai Jiao Tong University; M.S., Michigan State University; Ph.D., University of Illinois"
46,Emily A. Buchholtz,Gordon P. Lang and Althea P. Lang ‘26 Professor of Biological Sciences,,,"B.A., College of Wooster; M.A., University of Wisconsin; Ph.D., George Washington University"
47,Susan Buck,Instructor in Computer Science Laboratory,,,"B.A., University of North Carolina (Asheville); M.P.S., New York University (Tisch School of the Arts)"
48,Tom Burke,Professor of Political Science,,,"B.A., University of Minnesota (Minneapolis); M.A., Ph.D., University of California (Berkeley)"
49,Bryan E. Burns,Associate Professor of Classical Studies,,,"B.A., University of North Carolina; M.A., Ph.D., University of Michigan"
50,Kristin F. Butcher,Marshall I. Goldman Professor of Economics,,,"B.A., Wellesley College; M.S., London School of Economics; M.A., Ph.D., Princeton University"
51,William E. Cain,Mary Jewett Gaiser Professor of English,,,"B.A., Tufts University; M.A., Ph.D., Johns Hopkins University"
52,John S. Cameron,Professor of Biological Sciences,,,"B.S., College of William and Mary; M.S., Ph.D., University of Massachusetts (Amherst)"
53,Samantha Cameron,"Instructor in Physical Education, Recreation and Athletics",,,"B.A., San Jose State University; M.A., University of California (Los Angeles)"
54,Christopher CandlandA1,Associate Professor of Political Science,,,"B.A., Haverford College; M.A., M.Phil., Ph.D., Columbia University"
55,George M. Caplan,Senior Instructor in Physics Laboratory,,,"B.A., Swarthmore College; S.M., Harvard University"
56,Linda Carli,Senior Lecturer in Psychology,,,"B.A., University of Connecticut; Ph.D., University of Massachusetts (Amherst)"
57,Angela C. Carpenter,Associate Professor of Cognitive and Linguistic Sciences,,,"B.A., Wellesley College; M.A., Ph.D., University of Massachusetts (Amherst)"
58,Dora Carrico-Moniz,Associate Professor of Chemistry,,,"B.S., SUNY (Purchase College); M.S., Ph.D., Yale University"
59,Margaret D. CarrollA2,Professor of Art,,,"B.A., Barnard College; A.M., Ph.D., Harvard University"
