,name,title,title2,title3,education
0,Rachid Aadnani,Senior Lecturer in Middle Eastern Studies,,,"B.A., Universite Moulay Ismail (Morocco); M.A., Dartmouth College; Ph.D., Binghamton University"
1,Ama Baafra Abeberese,Assistant Professor of Economics,,,"B.A., Wellesley College; M.A., M.Phil., Ph.D., Columbia University"
2,Kris Adams,Senior Music Performance Faculty in Vocal Jazz,,,"B.M., Berklee College of Music; M.M., New England Conservatory of Music"
3,Katherine Adams,"Instructor in Physical Education, Recreation and Athletics",,,"B.S., Nazareth College; MS., University of Massachusetts (Boston)"
4,Marjorie Agosin,Professor of Spanish,,,"B.A., University of Georgia; M.A., Ph.D., Indiana University"
5,Eliko Akahori,Senior Music Performance Faculty in Piano,"Director, Music Performance Program",,"B.M., Kunitachi College of Music (Japan); M.M., D.M.A., New England Conservatory of Music"
6,Robin M. Akert,Professor of Psychology,,,"B.A., University of California (Santa Cruz); M.A., Ph.D., Princeton University"
7,Fred Aldrich,Music Performance Faculty in French Horn,,,"B.M., New England Conservatory of Music"
8,Emily Altier,"Instructor in Physical Education, Recreation and Athletics",,,"B.A., Niagara University"
9,Scott D. Anderson,Lecturer in Computer Science,,,"B.S., Yale University; M.S., Ph.D., University of Massachusetts (Amherst)"
10,Margaret Angelini,Carillon Director,,,"B.A., Wellesley College; M.M., New England Conservatory"
11,Andrew Arceci,"Director, Collegium Musicum",,,"B.M., John Hopkins University; M.M., The Juilliard School; M.S.T., University of Oxford"
12,Diego Arciniegas,Senior Lecturer in Theatre Studies,,,"B.A., Williams College"
13,Justin Armstrong,Lecturer in Writing and Anthropology,,,"B.A., Wilfred Laurier University (Waterloo, ON); M.A., Ph.D., McMaster University (Hamilton, ON)"
14,Chris R. Arumainayagam,Professor of Chemistry,,,"A.B., Harvard University; Ph.D., Stanford University"
15,Masako Atake,Visiting Lecturer in Japanese,,,"B.A., Tottori University; M.A., The University of Leeds; M.A., University of Wisconsin"
16,Angela Bahns,Assistant Professor of Psychology,,,"B.A., Pomona College; M.A., Ph.D., University of Kansas"
17,Lamia Balafrej,Assistant Professor of Art,,,"M.A., University of Paris; Ph.D., Universite de Provence"
18,Amy Banzaert,Lecturer in Engineering,Director of Engineering Studies,,"B.S., M.S., Ph.D,  Massachusetts Institute of Technology"
19,Daniela Bartalesi-Graf,Lecturer in Italian Studies,,,"B.A., Harvard University Extension School; M.A., Tufts University"
20,Maria del Mar Bassa Vanrell,Visiting Lecturer in Cognitive and Linguistic Sciences Program,,,"B.A., University of the Balearic Islands, Spain; M.A., Ph.D., University of Texas at Austin"
21,Christine Bassem,Lecturer in Computer Science,,,"B.S., Ain Shams University; M.S., German University in Cairo; Ph.D., Boston University"
22,Erin Royston Battat,Visiting Lecturer in the Writing Program,,,"B.A., Georgetown University; A.M., Ph.D., Harvard University"
23,James Battat,Assistant Professor of Physics,,,"Sc.B., Brown University; A.M., Ph.D., Harvard University"
24,Deborah E. Bauer,Lecturer in Neuroscience,,,"B.A., Wellesley College; Ph.D., University of Michigan"
25,Connie Lynn Bauman,PERA Professor of the Practice,,,"B.S., Illinois State University; M.S., Arizona State University; Certificate, Indiana State University"
26,Barbara R. Beatty,Professor of Education,,,"A.B., Radcliffe College; Ed.M., Ed.D., Harvard University"
27,Rebecca Bedell,Associate Professor of Art,,,"B.A., Wellesley College; M.A., Ph.D., Yale University"
28,Melissa A. Beers,Senior Instructor in Biological Sciences Laboratory,,,"B.S., University of New Hampshire; Ph.D., Cornell University"
29,Bridget Belgiovine,PERA Professor of the Practice,Director of Athletics,"Chair of Department of Physical Education, Recreation and Athletics","B.S., Trenton State College; M.Ed., Springfield College"
30,Barbara S. Beltz,Allene Lummis Russell Professor of Neuroscience,,,"B.A., Mount Holyoke College; M.S., Ph.D., Princeton University"
31,Robert S. Berg,Professor of Physics,,,"A.B., Princeton University; M.A., Ph.D., University of California (Berkeley)"
32,Patricia Gray Berman,Theodora L. and Stanley H. Feldberg Professor of Art,,,"B.A., Hampshire College; M.A., Ph.D., New York University"
33,Ashley  Bernstein,"Instructor in Physical Education, Recreation and Athletics",,,"B.S., Southern New Hampshire University"
34,James R. Besancon,Associate Professor of Geosciences,,,"B.S., Yale University; Ph.D., Massachusetts Institute of Technology"
35,Gurminder Kaur BhogalA,Associate Professor of Music,,,"B.Mus(Hons), Royal College of Music; M.Mus., King’s College, University of London; Ph.D., University of Chicago"
36,Frank L. Bidart,Andrew W. Mellon Professor in the Humanities,Professor of English,,"B.A., University of California (Riverside); A.M., Harvard University"
37,Héléne Bilis,Associate Professor of French,,,"B.A., Rutgers University; M.A., Ph.D., University of California (Berkeley)"
38,Laura Bossert-KingA,Senior Music Performance Faculty in Viola and Violin,,,"B.M.,  M.M., Eastman School of Music"
39,Marc Boutin,"Instructor in Physical Education, Recreation and Athletics",,,"B.A., Brandeis University"
