,name,title,title2,title3,education
40,Kathleen Boyd,Senior Music Performance Faculty in Flute,,,"B.M., M.M., New England Conservatory of Music"
41,Daniel J. Brabander,Frost Professor in Environmental Science,Professor of Geosciences,,"B.S., M.A., Binghamton University; Ph.D., Brown University"
42,Martin Alan Brody,Catherine Mills Davis Professor of Music,,,"B.A., Amherst College; M.M., D.M.A., Yale University School of Music"
43,Kathleen Brogan,Associate Professor of English,,,"B.A., Queens College; M.A., M.Phil., Ph.D., Yale University"
44,Anne Brubaker,Lecturer in the Writing Program,,,"B.A., Dickinson College; M.A., University of Sussex (Brighton, England); Ph.D., University of Illinois (Urbana-Champaign)"
45,Heather Corbally Bryant,Visiting Lecturer in the Writing Program,,,"A.B., Harvard College; M.A., Ph.D., University of Michigan"
46,Charles Bu,"William R. Kenan, Jr. Professor of Mathematics",,,"B.S., M.S., Shanghai Jiao Tong University; M.S., Michigan State University; Ph.D., University of Illinois"
47,Emily A. Buchholtz,Gordon P. Lang and Althea P. Lang ‘26 Professor of Biological Sciences,,,"B.A., College of Wooster; M.A., University of Wisconsin; Ph.D., George Washington University"
48,Tom Burke,Professor of Political Science,,,"B.A., University of Minnesota (Minneapolis); M.A., Ph.D., University of California (Berkeley)"
49,Bryan E. Burns,Associate Professor of Classical Studies,,,"B.A., University of North Carolina; M.A., Ph.D., University of Michigan"
50,Kristin Butcher,Marshall I. Goldman Professor of Economics,,,"B.A., Wellesley College; M.S., London School of Economics; M.A., Ph.D., Princeton University"
51,William E. Cain,Mary Jewett Gaiser Professor of English,,,"B.A., Tufts University; M.A., Ph.D., Johns Hopkins University"
52,Samantha Cameron,"Instructor in Physical Education, Recreation and Athletics",,,"B.A., San Jose State University; M.A., University of California (Los Angeles)"
53,John S. Cameron,Professor of Biological Sciences,,,"B.S., College of William and Mary; M.S., Ph.D., University of Massachusetts (Amherst)"
54,Christopher Candland,Associate Professor of Political Science,,,"B.A., Haverford College; M.A., M.Phil., Ph.D., Columbia University"
55,George M. Caplan,Senior Instructor in Physics Laboratory,,,"B.A., Swarthmore College; S.M., Harvard University"
56,Linda Carli,Senior Lecturer in Psychology,,,"B.A., University of Connecticut; Ph.D., University of Massachusetts (Amherst)"
57,Michelle  Carmell,Visiting Lecturer in Biological Sciences,,,"B.A., Dartmouth College; Ph.D., Stony Brook University"
58,Angela C. Carpenter,Associate Professor of Cognitive and Linguistic Sciences,,,"B.A., Wellesley College; M.A., Ph.D., University of Massachusetts (Amherst)"
59,Dora Carrico-Moniz,Associate Professor of Chemistry,,,"B.S., SUNY (Purchase College); M.S., Ph.D., Yale University"
60,Margaret Deutsch Carroll,Professor of Art,,,"B.A., Barnard College; A.M., Ph.D., Harvard University"
61,Kimberly Cassibry,Assistant Professor of Art,,,"B.A., Louisiana State University (Baton Rouge); M.A., University of Texas (Austin); Ph.D., University of California (Berkeley)"
62,Margaret Cezair-Thompson,Senior Lecturer in English,,,"B.A., Barnard College; M.A., New York University; Ph.D., City University of New York"
63,Gil Chalamish,Visiting Lecturer in Jewish Studies,,,"B.E.D., Beit Berl College; M.A., Boston College"
64,Clara S. Chan,Visiting Lecturer in Mathematics,,,"A.B., Harvard University; M.A., University of Chicago; Ph.D., Massachusetts Institute of Technology"
65,Stanley S. Chang,Mildred Lane Kemper Professor of Mathematics,,,"B.A., University of California (Berkeley); M.A., Cambridge University (England); Ph.D., University of Chicago"
66,Robert A. Charlton,"Instructor in Physical Education, Recreation and Athletics",,,"B.A., Boston University"
67,Jonathan M. CheekA,Professor of Psychology,,,"B.A., George Washington University; M.A., University of Texas (Austin); Ph.D., Johns Hopkins University"
68,Dai Chen,Senior Lecturer in Chinese,,,"B.A., Shanghai Teachers’University; M.A., University of Iowa"
69,Stephen  ChenA,Assistant Professor of Psychology,,,"B.A., Rutgers University; Ph.D., University of California (Berkeley)"
70,Dan ChiassonA,Professor of English,,,"B.A., Amherst College; Ph.D., Harvard University"
71,Calvin T. Chin,"Instructor in Physical Education, Recreation and Athletics",,,
72,Jennifer Chudy,Assistant Professor of Political Science,,,"A.B., Brown University; M.A., Ph.D., University of Michigan"
73,Jason  Cieply,Visiting Lecturer in Russian,,,"B.A., Kenyon College; M.A., Ph.D., Stanford University"
74,Courtney C. Coile,Professor of Economics,"Director, Knapp Social Science Center",,"A.B., Harvard College; Ph.D., Massachusetts Institute of Technology"
75,David Collins,Coach/Accompanist,,,"B.M., Western Michigan University (Kalamazoo); M.M., University of Wisconsin (Madison); Ph.D., New England Conservatory of Music"
76,Glorianne Collver-Jacobson,Senior Music Performance Faculty in Guitar and Lute,,,"B.A., University of California (Berkeley)"
77,Cecilia Confortini,Associate Professor of Peace and Justice Studies,,,"B.S., Università  degli Studi di Firenze; M.A., University of Notre Dame; Ph.D., University of Southern California"
78,Elena Tajima Creef,Professor of Women’s and Gender Studies,,,"B.A., University of California (Riverside); M.A., University of California (Santa Barbara); Ph.D., University of California (Santa Cruz)"
79,Lee CubaA2,Professor of Sociology,,,"B.S., Southern Methodist University; M.A., M.Phil., Ph.D., Yale University"
80,Selwyn R. Cudjoe,Professor of Africana Studies,,,"B.A., M.A., Fordham University; Ph.D., Cornell University"
81,Thomas Orton Cushman,Deffenbaugh de Hoyos Carlson Professor in the Social Sciences,Professor of Sociology,,"B.A., Saint Michael’s College; M.A., Ph.D., University of Virginia"
82,Veronica Darer,Senior Lecturer in Spanish,,,"M.A.T. School for International Training/World Learning; Ph.D., University of Florida"
83,Louise Darling,Knafel Assistant Professor of Natural Sciences,Assistant Professor of Biological Sciences,,"B.S., Johns Hopkins University; Ph.D., Rice University"
84,Venita DattaA2,Professor of French,,,"A.B., Bryn Mawr College; M.A., Ph.D., New York University"
85,Ophera A. Davis,Lecturer in Africana Studies,,,"B.S., M.S., Jackson State University; Ph.D., Saint Louis University"
86,Helena de Bres     ,Associate Professor of Philosophy,,,"B.A., Victoria University; M.A., Ph.D., Massachusetts Institute of Technology"
87,Ashley DeFlumere,Lecturer in Computer Science,,,"B.A., Mount Holyoke College; Ph.D., University of College Dublin"
88,Elizabeth R. DeSombre,Camilla Chandler Frost Professor of Environmental Studies,,,"B.A., Oberlin College; Ph.D., Harvard University"
89,Richard Delacy,Visiting Lecturer in South Asia Studies,,,"B.A., University of Melbourne (Australia); M.A., Monash University (Australia); M.A., Ph.D., University of Chicago"
90,Catherine R. Delcourt,Assistant Professor of Computer Science,,,"B.A., Wellesley College; M.S., Ph.D., Georgia Institute of Technology"
91,Christen Deveney,Assistant Professor of Psychology,,,"B.A., M.A., Ph.D., Harvard University"
92,Virginia Gabriela Diaz,Music Performance Faculty in Violin,,,"B.M., M.M., New England Conservatory of Music"
93,Alexander J. Diesl,Theresa Mall Mullarkey Associate Professor of Mathematics,,,"B.A., M.A., Johns Hopkins University; Ph.D., University of California (Berkeley)"
94,Bonnie M. Dix,PERA Associate Professor of the Practice,,,"B.S., University of Vermont; M.S., University of Tennessee (Knoxville)"
95,Nicholas K. Doe,Senior Instructor in Chemistry Laboratory,,,"B.A., M.S., University of California (Santa Cruz); M.A., Stanford University"
96,Jocelyne L. Dolce,Senior Instructor in Biological Sciences Laboratory,,,"B.Sc., M.Sc., University of Rhode Island"
97,Carlos G. Dorrien,Professor of Art,,,"Montserrat School of Visual Art, Diploma in Sculpture"
98,Carol Dougherty,Margaret E. Deffenbaugh and LeRoy T. Carlson Professor in Comparative Literature,Professor of Classical Studies,,"B.A., Stanford University; M.A., University of California (Santa Barbara); M.A., Ph.D., Princeton University"
99,Theodore W. Ducas,Professor of Physics,,,"B.A., Yale University; Ph.D., Massachusetts Institute of Technology"
100,Thomas Duprey,Music Instructor in Jazz and Classical Trumpet,,,"B.M., Crane School of Music; M.M., New England Conservatory"
101,Geraldine O. Echebiri,Instructor in Chemistry Laboratory,,,"B.S., Goucher College; Ph.D., University of Maryland (College Park)"
102,Graham C. Edmondson,Visiting Lecturer in Theatre Studies,,,"B.A., Boston University"
103,Kathryn Egizi,"Instructor in Physical Education, Recreation and Athletics",,,"B.S., Union College"
104,Sylvaine V. Egron-Sparrow,Senior Lecturer in French,,,"Licence de Lettres Modernes, Université de Haute Bretagne; Maîtrise de Français et de Linguistique, Université de Vincennes"
105,Sharon K. Elkins,Professor of Religion,,,"B.A., Stetson University; M.T.S., Harvard Divinity School; Ph.D., Harvard University"
106,David Ellerby,Associate Professor of Biological Sciences,,,"B.S., University of Manchester, UK; Ph.D., University of Leeds, UK"
107,Susan H. Ellison,Assistant Professor of Anthropology,,,"B.A, Washington University; M.T.S., Harvard Divinity School; A.M., Ph.D., Brown University"
108,Donald E. Elmore,Professor of Chemistry,,,"B.A., Grinnell College; Ph.D., California Institute of Technology"
109,Alla L. Epsteyn,Senior Lecturer in Russian,,,"M.A., Moscow University; Ph.D., Academy of Sciences Institute of World History (Russia)"
110,Roxanne Euben,Ralph Emerson and Alice Freeman Palmer Professor of Political Science,,,"B.A., Wesleyan University; M.A., Ph.D., Princeton University"
111,Rosemary G. Feal,Mary L. Cornille Distinguished Visiting Professor in the Humanities,,,"B.A., Allegheny College; M.A., Ph.D., University at Buffalo, SUNY"
112,Oscar E. Fernandez,Associate Professor of Mathematics,,,"B.A., B.S., University of Chicago; Ph.D., University of Michigan (Ann Arbor)"
113,Daniel Fetter,Assistant Professor of Economics,,,"B.A., Wesleyan University; M.Sc., London School of Economics and Political Science; Ph.D., Harvard University"
114,Paul Fisher,Associate Professor of American Studies,,,"A.B., Harvard College; B.A., M.A., Trinity College (Cambridge); M.A., M.Phil., Ph.D., Yale University"
115,Nolan T. Flynn,Associate Professor of Chemistry,,,"B.A., St. Olaf College; Ph.D., University of Illinois"
116,Claire Fontijn,Phyllis Henderson Carey Professor of Music,,,"B.A., Oberlin College; Certificate, The Royal Conservatory of The Hague; M.A., Ph.D., Duke University"
117,Cibele Freire,Norma Wilentz Hess Fellow in Computer Science,,,"B.S., Federal University of Ceara; M.Sc., Ph.D., University of Massachusetts (Amherst)"
118,Richard G. French,Louise Sherwood McDowell and Sarah Frances Whiting Professor of Astrophysics,Professor of Astronomy,,"B.A., M.S., Ph.D., Cornell University"
119,Alice T. FriedmanA2,Grace Slack McNeil Professor of American Art,Professor of Art,,"A.B., Radcliffe College; M.Phil., University of London; Ph.D., Harvard University"
120,Gale Fuller,Senior Music Performance Faculty in Voice,,,"B.M., Peabody Conservatory of Music; M.M., New England Conservatory of Music"
121,Jerome Fung,Lecturer in Physics,,,"B.A., Swarthmore College; A.M., Ph.D., Harvard University"
122,Charlene Galarneau,Associate Professor of Women’s and Gender Studies,,,"B.A., University of Massachusetts; M.A.R., Iliff School of Theology; A.M., Ph.D., Harvard University"
123,Marie-Cécile Ganne-Schiermeier,Lecturer in French,,,"M.A., Ph.D., Boston University"
124,Corinne A. Gartner,Assistant Professor of Philosophy,,,"B.A., M.A., Stanford University; Ph.D., Princeton University"
125,Barbara Geller,Professor of Religion,,,"A.B., Princeton University; M.A., Ph.D., Duke University"
126,C. Pat Giersch,Professor of History,,,"B.A., Dartmouth College; Ph.D., Yale University"
127,Beth Gifford,"Instructor in Physical Education, Recreation and Athletics",,,"B.S., Northeastern University"
128,Kathleen W. Gilbert,Instructor in Geosciences Laboratory,,,"B.A., Smith College; M.S., University of Miami"
129,Catherine Keane Gilhuly,Professor of Classical Studies,,,"B.A., Wesleyan University; M.A., Ph.D., University of California (Berkeley)"
130,Leigh Gilmore,Distinguished Visiting Professor of Women's and Gender Studies,,,"B.A., University of Washington; M.A., University of Washington; Ph.D., University of Washington"
131,Tracy R. GleasonA,Professor of Psychology,,,"A.B., Dartmouth College; Ph.D., University of Minnesota"
132,Sharon M. H. Gobes,Assistant Professor of Neuroscience,,,"B.Sc., M.Sc., Leiden University; Ph.D., Utrecht (The Netherlands)"
133,Stacie Goddard,Jane Bishop '51 Associate Professor of Political Science,,,"A.B., University of Chicago; M.A., M.Phil., Ph.D., Columbia University"
134,Kariann E. Goldschmitt,Assistant Professor of Music,,,"B.A., University of California (Los Angeles); M.A., University of California (San Diego); Ph.D., University of California (Los Angeles)"
135,Octavio R. GonazalezA,Assistant Professor of English,,,"B.A., Swarthmore College; M.A., Pennsylvania State University; M.A., Ph.D., Rutgers University"
136,Robert GoreeA,Assistant Professor of Japanese,,,"B.A., Westmont College; M.A., Columbia University; M.A., M.Phil., Ph.D., Yale University"
137,John GossA,Assistant Professor of Biological Sciences,,,"B.S., Rhodes College; M.Phil., Ph.D., Yale University"
138,Lisa Graham,Evelyn Barry Director of the Choral Program,Lecturer in Music,,"B.A., Sonoma State College; M.M., D.M.A., University of Southern California"
139,CoriEllen Grande,"Instructor in Physical Education, Recreation and Athletics",,,
140,Katherine GrandjeanA2,Associate Professor of History,,,"B.A., Yale University; Ph.D., Harvard University"
141,Laura Grattan,Associate Professor of Political Science,,,"B.A., College of William and Mary; M.A., Ph.D., Duke University"
142,Jesse Aron Green,Visiting Lecturer in Art,,,"B.A., Harvard College; M.F.A., University of California (Los Angeles)"
143,Nikki A. Greene,Assistant Professor of Art,,,"B.A., Wesleyan University; M.A., Ph.D., University of Delaware"
144,Brenna W. Greer,Knafel Assistant Professor of Social Sciences,Assistant Professor of History,,"B.A., Beloit College; M.A., Ph.D., University of Wisconsin (Madison)"
145,Alden Griffith,Assistant Professor of Environmental Studies,,,"B.A., Wesleyan University; Ph.D., University of California (Santa Cruz)"
146,Simon Grote,Wellesley Faculty Assistant Professor of History,,,"A.B., Harvard University; M.Phil., Cambridge University; M.A., Ph.D., University of California (Berkeley)"
147,Scott E. Gunther,Associate Professor of French,,,"B.A., Cornell University; D.E.A., Ecole Normale Superieure & Ecole des Hautes Etudes en Sciences Sociales; J.D., Ph.D., New York University"
148,Evelina Guzauskyte,Associate Professor of Spanish,,,"B.A., Middlebury College; M.A., M.Phil., Ph.D., Columbia University"
149,Koichi Hagimoto,Associate Professor of Spanish,,,"B.A., Soka University of America; M.A., Ph.D., University of Pittsburgh"
150,Nadya S. Hajj,Assistant Professor of Political Science,,,"B.A., University of Virginia; M.A., Ph.D., Emory University"
151,Nancy Abraham Hall,Senior Lecturer in Spanish,,,"B.A., Smith College; M.A., Ph.D., Harvard University"
152,Mona Lambracht Hall,Senior Instructor in Chemistry Laboratory,,,"B.A., Russell Sage College; Ph.D., Tufts University"
153,Katherine L. Hall,Visiting Lecturer in Physics,,,"B.A., Wellesley College; M.S., Ph.D., Massachusetts Institute of Technology"
154,Neal Louis Hampton,"Conductor, Brandeis-Wellesley Orchestra",,,"B.M., Eastman School of Music; M.M., Boston University"
155,Anjeana K. Hans,Associate Professor of German,,,"A.B., M.A., Ph.D., Harvard University"
156,Marianne Harkless,"Instructor in Physical Education, Recreation and Athletics",,,
157,Jane Harrison,Music Performance Faculty in Oboe,,,"B.M., Ohio Wesleyan University; M.M., Manhattan School of Music"
158,Kenneth S. Hawes,Senior Lecturer in Education,,,"B.S., Massachusetts Institute of Technology; Ed.M., Ed.D., Harvard University"
159,David P. HawkinsA1,Associate Professor of Geosciences,,,"B.A., Clark University; M.A., George Washington University; Ph.D., Massachusetts Institute of Technology"
160,Gretchen Hayden-Ruckert,"Instructor in Physical Education, Recreation and Athletics",,,
161,Michael J. Hearn,Professor of Chemistry,,,"B.A., Rutgers University; M.S., M.Phil., Ph.D., Yale University"
162,Beth Ann Hennessey,Professor of Psychology,,,"A.B., Brown University; M.Ed., Lesley College; Ph.D., Brandeis University"
163,Mark S. Henry,Senior Music Performance Faculty in Double Bass,,,"B.M., Berklee College of Music; M.M., University of Massachusetts (Lowell)"
164,Jean Herbst,Instructor in Computer Science Laboratory,,,"B.S., University of Wisconsin (Madison); M.S., University of Rhode Island"
165,Rosanna Hertz,Class of 1919 - 50th Reunion Professor of Sociology and Women’s and Gender Studies,,,"B.A., Brandeis University; M.A., Ph.D., Northwestern University"
166,Emily B. Hewitt,"Instructor in Physical Education, Recreation and Athletics",,,"B.A., Wellesley College"
167,Alison Hickey,Associate Professor of English,,,"A.B., Harvard and Radcliffe Colleges; M.A., M.Phil., Ph.D., Yale University"
168,Monica R. Higgins,Lecturer in Environmental Studies,,,"B.S., University of Pittsburgh; M.S., Ph.D., University of Michigan"
169,Ellen C. Hildreth,Professor of Computer Science,,,"B.S., M.S., Ph.D., Massachusetts Institute of Technology"
170,Eric Hilt,Professor of Economics,,,"A.B., Occidental College; M.Phil., Ph.D., Columbia University"
171,Philip Steven Hirschhorn,Professor of Mathematics,,,"B.S., Brooklyn College of City University of New York; Ph.D., Massachusetts Institute of Technology"
172,Thomas Peter HodgeA,Professor of Russian,,,"B.A., Pomona College; M.A., Oxford University; A.M., Ph.D., Stanford University"
173,Randall Hodgkinson,Music Performance Faculty in Piano,,,"B.M., M.M., New England Conservatory of Music"
174,Russell A. Hoffmann,Music Instructor in Jazz Piano,,,"B.M., University of Texas; M.Ed., Cambridge College"
175,Lauren Holmes,Newhouse Visiting Professor of Creative Writing,,,"B.A., Wellesley College; M.F.A., Hunter College"
176,Soo Hong,Associate Professor of Education,,,"B.A., M.T., University of Virginia; Ed.D., Harvard University"
177,Simona R. Horsikyan,"Instructor in Physical Education, Recreation and Athletics",,,"B.A., University of Central Arkansas; M.S., Regis College"
178,Janie E. Howland,Lecturer in Theatre Studies,,,"B.A., University of Pennsylvania; M.F.A., Brandeis University"
179,Yue HuA,Associate Professor of Physics,,,"B.S., Beijing University; M.S., Ph.D., Cornell University"
180,Adrian Huang,Instructor in Chemistry Laboratory,,,"B.A., Xiantang University; Ph.D., University of California (Los Angeles)"
181,Jeff Hughes,Lecturer in Biological Sciences,,,"B.A., Boston University; M.S., University of Washington; Ph.D., University of Rhode Island"
182,Nora Hussey,"Director, Wellesley College Theatre","Director, Theatre Studies Program",,"B.A., Mundelein College"
183,Seth Hussey,"Instructor in Physical Education, Recreation and Athletics",,,"B.S., St. Lawrence University; M.S., Purdue University"
184,Antonio M.A. Igrejas,Mellon Foundation Lecturer in Portuguese,,,"B.A., University of Massachusetts (Dartmouth); M.A., Ph.D., University of Massachusetts (Amherst)"
185,Jonathan B. ImberA1,Jean Glasscock Professor of Sociology,,,"B.A., Brandeis University; M.A., Ph.D., University of Pennsylvania"
186,Kellie Carter Jackson,Assistant Professor of Africana Studies,,,"B.A., Howard University; M.A., Colombia University; Ph.D., Colombia University"
187,Seok Bae Jang,Lecturer in East Asian Languages & Cultures,,,"B.A., M.A., Ph.D., Yonsei University"
188,Michael Jeffries,Associate Professor of American Studies,,,"A.B., Swarthmore College; Ph.D., Harvard University"
189,Philip Jennings,PERA Assistant Professor of the Practice,,,"B.A., Hamilton College; M.Ed., The College of New Jersey"
190,Laura Jeppesen,Senior Music Performance Faculty in Viola da Gamba,,,"B.A., Wheaton College; M.M., Yale University"
191,Jenny Olivia Johnson,Associate Professor of Music,,,"B.A., Barnard College; M.M., Manhattan School of Music; Ph.D., New York University"
192,Erin Johnson,Visiting Lecturer in Economics,,,"A.B., Princeton University; Ph.D., University of California (Berkeley)"
193,Paula A. Johnson,President,Professor of Women's Health Studies,,"B.A., Harvard Radcliffe Colleges; M.P.H., Harvard School of Public Health; M.D., Harvard Medical School"
194,Jeannine Johnson,Senior Lecturer in the Writing Program,,,"B.A., Haverford College; Ph.D., Yale University"
195,Kristina Niovi Jones,"Director, Wellesley College Botanic Gardens",Adjunct Assistant Professor of Biological Sciences,,"B.S., Stanford University; Ph.D., University of California"
196,William A. Joseph,Professor of Political Science,,,"B.A., Cornell University; M.A., Ph.D., Stanford University"
197,Claudia  Joskowicz,Assistant Professor of Art,,,"B.A., University of Houston; M.F.A., New York University"
198,Bojan Jovanovic,"Instructor in Physical Education, Recreation and Athletics",,,
199,Joseph P. Joyce,M. Margaret Ball Professor of International Relations,Professor of Economics,,"B.S.F.S., Georgetown University; M.A., Ph.D., Boston University"
200,Marion R. Just,Professor of Political Science,,,"B.A., Barnard College; M.A., Johns Hopkins University; Ph.D., Columbia University"
201,Stella Kakavouli,Senior Instructor in Computer Science Laboratory,,,"B.S., National Technical University (Athens, Greece); M.S., Brown University"
202,Lidwien Kapteijns,Elizabeth Kimball Kendall and Elisabeth Hodder Professor of History,,,"B.A., Universiteit van Amsterdam; M.A., University of London; Doctoraal, Ph.D., Universiteit van Amsterdam"
203,Anastasia Karakasidou,Professor of Anthropology,,,"B.A., College of Wooster; M.A., Brandeis University; M.A., Bryn Mawr College; M.Phil., Ph.D., Columbia University"
204,Margaret Keane,Professor of Psychology,,,"A.B., Harvard College; Ph.D., Massachusetts Institute of Technology"
205,Sari Kerr,"Senior Research Scientist, Wellesley Centers for Women",Visiting Lecturer in Economics,,"Diploma in Economics, University of Kent at Canterbury; M.A., University of Jyvaskyla, Finland; Ph.D., University of Jyvaskyla, Finland"
206,Megan Kerr,Professor of Mathematics,,,"B.A., Wellesley College; Ph.D., University of Pennsylvania"
207,Pinar Keskin,Assistant Professor of Economics,,,"B.A., Bilkent University; M.A., M. Phil., Ph.D., Yale University"
208,Rebecca  Kimball,PERA Assistant Professor of the Practice,,,"B.S., University of Southern Maine; M.S., Springfield College"
209,Julia  King,PERA Assistant Professor of the Practice,,,"B.A., Bowdoin College; M.A., Trinity College"
210,Steve Kirby,Music Performance Faculty in Jazz Guitar,,,"B.A., Berklee College of Music; M.M. University of Massachusetts (Amherst)"
211,Vanja Klepac-Ceraj,Assistant Professor of Biological Sciences,,,"B.S., Beloit College; Ph.D., Massachusetts Institute of Technology"
212,Ariana Klinkov,"Instructor in Physical Education, Recreation and Athletics",,,"B.A., SUNY Binghamton; M.A., Northeastern University"
213,Nicholas Knouf,Assistant Professor of Cinema and Media Studies,,,"B.S., California Institute of Technology; S.M., Massachusetts Institute of Technology; Ph.D., Cornell University"
214,Yu Jin Ko,Professor of English,,,"B.A., Columbia University; M.A., Cambridge University (Clare College); Ph.D., Yale University"
215,T. James Kodera,Professor of Religion,,,"B.A., Carleton College; M.A., M.Phil., Ph.D., Columbia University"
216,Joel KriegerA,Norma Wilentz Hess Professor of Political Science,,,"B.A., Yale College; Ph.D., Harvard University"
217,Jennifer A. Kroll,PERA Associate Professor of the Practice,,,"B.S., Northwestern University; M.S., University of Kentucky"
218,Kyra Kulik-Johnson,Lecturer in Psychology,,,"B.A., Boston College; Ed.M., Harvard University Graduate School of Education; Ph.D., Boston College"
219,Brian K. Kuscher,PERA Associate Professor of the Practice,,,"B.A., Franklin Pierce University; M.A., Concordia University"
220,Martina Königer,Adjunct Assistant Professor of Biological Sciences,,,"Diploma, Ph.D., University of Würzburg (Germany)"
221,Megan LaBella,"Instructor in Physical Education, Recreation and Athletics",,,"B.A., Boston University"
222,Yuan-Chu Ruby Lam,Professor of Chinese,,,"B.A., National Taiwan University; M.A., Ph.D., Harvard University"
223,Karen Lange,Associate Professor of Mathematics,,,"B.A., Swarthmore College; M.S., Ph.D., University of Chicago"
224,Gabriel Langfur,Music Performance Faculty in Trombone,,,"B.A., Oberlin College; B.M., Oberlin Conservatory; M.M., New England Conservatory"
