,name,title,title2,title3,education
0,"Aadnani, Rachid",Senior Lecturer in Middle Eastern Studies,,,"B.A., Universite Moulay Ismail (Morocco); M.A., Dartmouth College; Ph.D., Binghamton University"
1,"Abeberese, Ama Baafra",Assistant Professor of Economics,,,"B.A., Wellesley College; M.A., M.Phil., Ph.D., Columbia University"
2,"Adams, Kris",Senior Music Performance Faculty in Vocal Jazz,,,"B.M., Berklee College of Music; M.M., New England Conservatory of Music"
3,"Agosin, Marjorie",Professor of Spanish,,,"B.A., University of Georgia; M.A., Ph.D., Indiana University"
4,"Akahori, Eliko",Senior Music Performance Faculty in Piano,"Director, Music Performance Program",,"B.M., Kunitachi College of Music (Japan); M.M., D.M.A., New England Conservatory of Music"
5,"Akert, Robin M.",Professor of Psychology,,,"B.A., University of California (Santa Cruz); M.A., Ph.D., Princeton University"
6,"Aldrich, Fred",Senior Music Performance Faculty in French Horn,,,"B.M., New England Conservatory of Music"
7,"Anderson, Scott D.",Lecturer in Computer Science,,,"B.S., Yale University; M.S., Ph.D., University of Massachusetts (Amherst)"
8,"Angelini, Margaret","Director, Guild of Carillonneurs",,,"B.A., Wellesley College; M.M., New England Conservatory"
9,"Arciniegas, Diego",Senior Lecturer in Theatre Studies,,,"B.A., Williams College"
10,"Armstrong, Justin",Lecturer in Writing and Anthropology,,,"B.A., Wilfred Laurier University (Waterloo, ON); M.A., Ph.D., McMaster University (Hamilton, ON)"
11,"Arora, Maneesh",Assistant Professor of Political Science,,,"B.S., University of Oregon; M.Ed., Boston University; M.A., Ph.D., University of California (Irvine)"
12,"Arraiza Rivera, Antonio J.",Assistant Professor of Spanish,,,"B.S., University of Puerto Rico-Rio Piedras; Ph.D., Harvard University"
13,"Arumainayagam, Chris R.",Professor of Chemistry,,,"A.B., Harvard University; Ph.D., Stanford University"
14,"Bahns, Angela",Associate Professor of Psychology,,,"B.A., Pomona College; M.A., Ph.D., University of Kansas"
15,"Balikcioglu, Efe",Visiting Lecturer in Religion,,,"B.A., Princeton University; A.M., Ph.D., Harvard University"
16,"Banzaert, Amy",Lecturer in Engineering,Director of Engineering Studies,,"B.S., M.S., Ph.D, Massachusetts Institute of Technology"
17,"Bartalesi-Graf, Daniela",Senior Lecturer in Italian Studies,,,"B.A., Harvard University Extension School; M.A., Tufts University"
18,"Bassa Vanrell, Maria del Mar",Visiting Lecturer in Spanish,,,"B.A., University of the Balearic Islands, Spain; M.A., Ph.D., University of Texas at Austin"
19,"Bassem, Christine",Assistant Professor of Computer Science,,,"B.S., Ain Shams University; M.S., German University in Cairo; Ph.D., Boston University"
20,"Battat, Erin Royston",Lecturer in the Writing Program,,,"B.A., Georgetown University; A.M., Ph.D., Harvard University"
21,"Battat, James",Associate Professor of Physics,,,"Sc.B., Brown University; A.M., Ph.D., Harvard University"
22,"Bauer, Deborah E.",Lecturer in Neuroscience,,,"B.A., Wellesley College; Ph.D., University of Michigan"
23,"Bedell, Rebecca",Professor of Art,,,"B.A., Wellesley College; M.A., Ph.D., Yale University"
24,"Bedirhanoglu, Nazan",Freedom Project Postdoctoral Fellow in Political Science,,,"B.A., M.A., Ankara University; Ph.D., State University of New York (Binghamton)"
25,"Beers, Melissa A.",Senior Instructor in Biological Sciences Laboratory,,,"B.S., University of New Hampshire; Ph.D., Cornell University"
26,"Belisle, Rebecca",Assistant Professor of Physics,,,"B.A., Franklin W. Olin College; M.P., University of Bath; Ph.D., Stanford University"
27,"Beltz, Barbara S. A2",Allene Lummis Russell Professor of Neuroscience,,,"B.A., Mount Holyoke College; M.S., Ph.D., Princeton University"
28,"Berg, Robbie",Professor of Physics,,,"A.B., Princeton University; M.A., Ph.D., University of California (Berkeley)"
29,"Berman, Patricia Gray",Theodora L. and Stanley H. Feldberg Professor of Art,,,"B.A., Hampshire College; M.A., Ph.D., New York University"
30,"Bhogal, Gurminder Kaur",Catherine Mills Davis Professor of Music,,,"B.Mus. (Hons), Royal College of Music; M.Mus., King’s College, University of London; Ph.D., University of Chicago"
31,"Bidart, Frank L.",Andrew W. Mellon Professor in the Humanities,Professor of English,,"B.A., University of California (Riverside); A.M., Harvard University"
32,"Bilis, Hélène",Associate Professor of French,,,"B.A., Rutgers University; M.A., Ph.D., University of California (Berkeley)"
33,"Biller, Steven",Assistant Professor of Biological Sciences,,,"B.A., Williams College; Ph.D., Stanford University"
34,"Bossert-King, Laura",Senior Music Performance Faculty in Viola and Violin,,,"B.M., M.M., Eastman School of Music"
35,"Botticello, Christiana",Visiting Lecturer in Political Science,,,"B.A., Gordon College"
36,"Boyd, Kathleen",Senior Music Performance Faculty in Flute,,,"B.M., M.M., New England Conservatory of Music"
37,"Brabander, Daniel J.",Frost Professor in Environmental Science,Professor of Geosciences,,"B.S., M.A., Binghamton University; Ph.D., Brown University"
38,"Bradshaw, Kaitlin","Instructor in Physical Education, Recreation and Athletics",,,"B.A., Wellesley College"
39,"Brey, Alexander",Assistant Professor of Art,,,"B.A., Vassar College; M.A., Ph.D., Bryn Mawr"
40,"Brogan, Kathleen",Associate Professor of English,,,"B.A., Queens College; M.A., M.Phil., Ph.D., Yale University"
41,"Brubach, Brian",Assistant Professor of Computer Science,,,"B.A., Columbia College Chicago; B.A., Rutgers University, Ph.D., University of Maryland"
42,"Brubaker, Anne",Lecturer in the Writing Program,,,"B.A., Dickinson College; M.A., University of Sussex (Brighton, England); Ph.D., University of Illinois (Urbana-Champaign)"
43,"Bruhn, Sarah",Visiting Lecturer in Education,,,"B.A., Vassar College; M.A., American University; Ed.M., Harvard Graduate School of Education"
44,"Bryant, Heather Corbally",Lecturer in the Writing Program,,,"A.B., Harvard College; M.A., Ph.D., University of Michigan"
45,"Bu, Charles",Professor of Mathematics,,,"B.S., M.S., Shanghai Jiao Tong University; M.S., Michigan State University; Ph.D., University of Illinois"
46,"Buchholtz, Emily A.",Gordon P. Lang and Althea P. Lang ‘26 Professor of Biological Sciences,,,"B.A., College of Wooster; M.A., University of Wisconsin; Ph.D., George Washington University"
47,"Burke, Tom",Ralph Emerson and Alice Freeman Palmer Professor of Political Science,,,"B.A., University of Minnesota (Minneapolis); M.A., Ph.D., University of California (Berkeley)"
