,name,title,title2,title3,education
0,Rachid Aadnani,Lecturer in Middle Eastern Studies,,,"B.A., Universite Moulay Ismail (Morocco); M.A., Dartmouth College; Ph.D., Binghamton University"
1,Brandon Abbs,Visiting Lecturer in Psychology,,,"B.A., University of Maryland; Ph.D., University of Iowa"
2,Rana Abdul-Aziz,Lecturer in Middle Eastern Studies,,,"B.A., M.A., Tufts University"
3,Kris Adams,Senior Music Performance Faculty in Vocal Jazz,,,"B.M., Berklee College of Music; M.M., New England Conservatory of Music"
4,Marjorie Agosin,Luella LaMer Slaner Professor in Latin American Studies,Professor of Spanish,,"B.A., University of Georgia; M.A., Ph.D., Indiana University"
5,Eliko Akahori,Music Performance Faculty in Piano,Coach/accompanist,,"B.M., Kunitachi College of Music (Japan); M.M., D.M.A., New England Conservatory of Music"
6,Robin M. Akert,Professor of Psychology,,,"B.A., University of California (Santa Cruz); M.A., Ph.D., Princeton University"
7,Fred Aldrich,Music Instructor in French Horn,,,"B.M., New England Conservatory of Music"
8,Sarah M. Allen,Assistant Professor of Chinese,,,"A.B., Harvard College; M.A., University of Michigan; Ph.D., Harvard University"
9,Scott D. Anderson,Lecturer in Computer Science,,,"B.S., Yale University; M.S., Ph.D., University of Massachusetts (Amherst)"
10,Diego Arciniegas,Senior Lecturer in Theatre Studies,,,"B.A., Williams College"
11,Justin Armstrong,Visiting Lecturer in the Writing Program,,,"B.A., Wilfred Laurier University (Waterloo, ON); M.A., Ph.D., McMaster University (Hamilton, ON)"
12,Chris R. Arumainayagam A2,Professor of Chemistry,,,"A.B., Harvard University; Ph.D., Stanford University"
13,John Babington,"Instructor in Physical Education, Recreation and Athletics",,,"B.A., Williams College; J.D., Harvard University"
14,Angela Bahns,Assistant Professor of Psychology,,,"B.A., Pomona College; M.A., Ph.D., University of Kansas"
15,Amy Banzaert,Visiting Lecturer in Engineering,,,"B.S., M.S., Massachusetts Institute of Technology"
16,Daniela Bartalesi-Graf,Lecturer in Italian Studies,,,"B.A., Harvard University Extension School; M.A., Tufts University"
17,Tamar Barzel,Assistant Professor of Music,,,"B.M., Oberlin Conservatory of Music; M.A., Ph.D., University of Michigan"
18,Deborah E. Bauer,Visiting Lecturer in Neuroscience,,,"B.A., Wellesley College; Ph.D., University of Michigan"
19,Thomas J. Bauer,Senior Instructor in Physics Laboratory,,,"B.A., Wabash College; M.A., University of Idaho"
20,Wendy Hagen Bauer A2,Professor of Astronomy,,,"B.A., Mount Holyoke College; M.S., Ph.D., University of Hawaii"
21,Connie Lynn Bauman,PERA Associate Professor of the Practice,,,"B.S., Illinois State University; M.S., Arizona State University; Certificate, Indiana State University"
22,Christopher Baylor,Visiting Lecturer in Political Science,,,"B.A., Muhlenburg College; M.A., Brown University; M.A., University of California (Los Angeles)"
23,Barbara R. Beatty,Professor of Education,,,"A.B., Radcliffe College; Ed.M., Ed.D., Harvard University"
24,Rebecca Bedell,Associate Professor of Art,,,"B.A., Wellesley College; M.A., Ph.D., Yale University"
25,Melissa A. Beers,Instructor in Biological Sciences Laboratory,,,"B.S., University of New Hampshire; Ph.D., Cornell University"
26,Bridget Belgiovine,PERA Professor of the Practice,Director of Athletics,"Chair of Department of Physical Education, Recreation and Athletics","B.S., Trenton State College; M.Ed., Springfield College"
27,Barbara S. Beltz A,Allene Lummis Russell ’46 Professor of Neuroscience,,,"B.A., Mount Holyoke College; M.S., Ph.D., Princeton University"
28,Doug Blum,Visiting Lecturer in Political Science,,,"B.A., Washington University in St. Louis; Ph.D., Columbia University"
29,Kaća Bradonjić,Visiting Lecturer in Physics,,,"B.S., Northeastern University; M.A., Boston University"
30,Robert S. Berg,Professor of Physics,,,"A.B., Princeton University; M.A., Ph.D., University of California (Berkeley)"
31,Patricia Gray Berman,Theodora L. and Stanley H. Feldberg Professor of Art,,,"B.A., Hampshire College; M.A., Ph.D., New York University"
32,Regan Bernhard,"Instructor in Physical Education, Recreation and Athletics",,,"B.A., Wellesley College"
33,Wendy Berry,PERA Assistant Professor of the Practice,,,"B.S., Brighton University"
34,James R. Besancon A,Associate Professor of Geosciences,,,"B.S., Yale University; Ph.D., Massachusetts Institute of Technology"
35,Gurminder Kaur Bhogal,Assistant Professor of Music,,,"B.Mus., Royal College; M.Mus., King’s College; Ph.D., University of Chicago"
36,Frank L. Bidart,Andrew W. Mellon Professor in the Humanities,Professor of English,,"B.A., University of California (Riverside); A.M., Harvard University"
37,Héléne Bilis,Assistant Professor of French,,,"B.A., Rutgers University; M.A., Ph.D., University of California (Berkeley)"
38,Molly Thomasy Blasing,Visiting Lecturer in Russian,,,"B.A., Harvard University; M.A., University of Wisconsin (Madison)"
39,Laura Bossert-King,Senior Music Performance Faculty in Viola and Violin,,,"B.M.,  M.M., Eastman School of Music"
40,Kathleen Boyd,Music Performance Faculty in Flute,,,"B.M., M.M., New England Conservatory of Music"
41,Daniel J. Brabander,Associate Professor of Geosciences,,,"B.S., M.A., Binghamton University; Ph.D., Brown University"
42,Sheila P. Brachfeld-Child,Senior Lecturer in Psychology,"Director, Medical Professions Advising",,"B.A., Tufts University; M.A., Boston University; Ph.D., Brandeis University"
43,Martin Alan Brody A2,Catherine Mills Davis Professor of Music,,,"B.A., Amherst College; M.M., D.M.A., Yale University School of Music"
44,Kathleen Brogan,Associate Professor of English,,,"B.A., Queens College; M.A., M.Phil., Ph.D., Yale University"
