,name,title,title2,title3,education
0,"Aadnani, Rachid",Senior Lecturer in Middle Eastern Studies,,,"B.A., Universite Moulay Ismail (Morocco); M.A., Dartmouth College; Ph.D., Binghamton University"
1,"Abeberese, Ama Baafra",Assistant Professor of Economics,,,"B.A., Wellesley College; M.A., M.Phil., Ph.D., Columbia University"
2,"Adams, Kris",Senior Music Performance Faculty in Vocal Jazz,,,"B.M., Berklee College of Music; M.M., New England Conservatory of Music "
3,"Adhikari, Prabal",Visiting Lecturer in Physics,,,"B.A., Grinnell College; Ph.D., University of Maryland"
4,"Agosin, Marjorie",Professor of Spanish,,,"B.A., University of Georgia; M.A., Ph.D., Indiana University"
5,"Akahori, Eliko",Senior Music Performance Faculty in Piano,"Director, Music Performance Program",,"B.M., Kunitachi College of Music (Japan); M.M., D.M.A., New England Conservatory of Music"
6,"Akert, Robin M. A2",Professor of Psychology,,,"B.A., University of California (Santa Cruz); M.A., Ph.D., Princeton University"
7,"Aldrich, Fred",Senior Music Performance Faculty in French Horn,,,"B.M., New England Conservatory of Music"
8,"Anderson, Scott D.",Lecturer in Computer Science,,,"B.S., Yale University; M.S., Ph.D., University of Massachusetts (Amherst)"
9,"Angelini, Margaret","Director, Guild of Carillonneurs",,,"B.A., Wellesley College; M.M., New England Conservatory "
10,"Arceci, Andrew","Director, Collegium Musicum",,,"B.M., John Hopkins University; M.M., The Juilliard School; M.S.T., University of Oxford"
11,"Arciniegas, Diego",Senior Lecturer in Theatre Studies,,,"B.A., Williams College"
12,"Armstrong, Justin",Lecturer in Writing and Anthropology,,,"B.A., Wilfred Laurier University (Waterloo, ON); M.A., Ph.D., McMaster University (Hamilton, ON)"
13,"Arora, Maneesh",Assistant Professor of Political Science,,,"B.S., University of Oregon; M.Ed., Boston University; M.A., Ph.D., University of California (Irvine)"
14,"Arraiza Rivera, Antonio J.",Assistant Professor of Spanish,,,"B.S., University of Puerto Rico-Rio Piedras; Ph.D., Harvard University"
15,"Arumainayagam, Chris R.",Professor of Chemistry,,,"A.B., Harvard University; Ph.D., Stanford University"
16,"Axler, Jennifer",Visiting Lecturer in Geosciences,,,"B.A., Smith College; M.Phil., Ph.D., Yale University"
17,"Bahns, Angela",Associate Professor of Psychology,,,"B.A., Pomona College; M.A., Ph.D., University of Kansas"
18,"Banzaert, Amy",Lecturer in Engineering,Director of Engineering Studies,,"B.S., M.S., Ph.D., Massachusetts Institute of Technology"
19,"Bartalesi-Graf, Daniela",Lecturer in Italian Studies,,,"B.A., Harvard University Extension School; M.A., Tufts University"
20,"Bassa Vanrell, Maria del Mar",Visiting Lecturer in Spanish,,,"B.A., University of the Balearic Islands, Spain; M.A., Ph.D., University of Texas at Austin "
21,"Bassem, Christine",Assistant Professor of Computer Science,,,"B.S., Ain Shams University; M.S., German University in Cairo; Ph.D., Boston University"
22,"Battat, James",Associate Professor of Physics,,,"Sc.B., Brown University; A.M., Ph.D., Harvard University"
23,"Battat, Erin Royston",Lecturer in the Writing Program,,,"B.A., Georgetown University; A.M., Ph.D., Harvard University"
24,"Bauer, Deborah E. A1",Lecturer in Neuroscience,,,"B.A., Wellesley College; Ph.D., University of Michigan"
25,"Bedell, Rebecca",Professor of Art,,,"B.A., Wellesley College; M.A., Ph.D., Yale University"
26,"Bedirhanoglu, Nazan",Freedom Project Postdoctoral Fellow in Political Science,,,"B.A., M.A., Ankara University; Ph.D., State University of New York (Binghamton)"
27,"Beers, Melissa A.",Senior Instructor in Biological Sciences Laboratory,,,"B.S., University of New Hampshire; Ph.D., Cornell University"
28,"Belisle, Rebecca",Assistant Professor of Physics,,,"B.A., Franklin W. Olin College; M.P., University of Bath; Ph.D., Stanford University  "
29,"Beltz, Barbara S.",Allene Lummis Russell Professor of Neuroscience,,,"B.A., Mount Holyoke College; M.S., Ph.D., Princeton University"
30,"Berg, Robbie",Professor of Physics,,,"A.B., Princeton University; M.A., Ph.D., University of California (Berkeley)"
31,"Berman, Patricia Gray",Theodora L. and Stanley H. Feldberg Professor of Art,,,"B.A., Hampshire College; M.A., Ph.D., New York University"
32,"Bhogal, Gurminder Kaur",Catherine Mills Davis Associate Professor of Music,,,"B.Mus. (Hons), Royal College of Music; M.Mus., King’s College, University of London; Ph.D., University of Chicago"
33,"Bidart, Frank L.",Andrew W. Mellon Professor in the Humanities,Professor of English,,"B.A., University of California (Riverside); A.M., Harvard University"
34,"Bilis, HélèneA",Associate Professor of French,,,"B.A., Rutgers University; M.A., Ph.D., University of California (Berkeley)"
35,"Biller, Steven",Assistant Professor of Biological Sciences,,,"B.A., Williams College; Ph.D., Stanford University"
36,"Bossert-King, Laura",Senior Music Performance Faculty in Viola and Violin,,,"B.M., M.M., Eastman School of Music"
37,"Botnick, Ken",Mary L. Cornille Distinguished Visiting Professor in the Humanities,,,"B.B.S., University of Wisconsin (Madison) "
38,"Boyd, Kathleen",Senior Music Performance Faculty in Flute,,,"B.M., M.M., New England Conservatory of Music"
39,"Brabander, Daniel J.",Frost Professor in Environmental Science,Professor of Geosciences,,"B.S., M.A., Binghamton University; Ph.D., Brown University"
40,"Brey, Alexander",Assistant Professor of Art,,,"B.A., Vassar College; M.A., Ph.D., Bryn Mawr "
41,"Brogan, Kathleen",Associate Professor of English,,,"B.A., Queens College; M.A., M.Phil., Ph.D., Yale University"
42,"Brubaker, Anne",Lecturer in the Writing Program,,,"B.A., Dickinson College; M.A., University of Sussex (Brighton, England); Ph.D., University of Illinois (Urbana-Champaign)"
43,"Bryant, Heather Corbally",Lecturer in the Writing Program,,,"A.B., Harvard College; M.A., Ph.D., University of Michigan"
44,"Bu, Charles A",Professor of Mathematics,,,"B.S., M.S., Shanghai Jiao Tong University; M.S., Michigan State University; Ph.D., University of Illinois"
45,"Buchholtz, Emily A.",Gordon P. Lang and Althea P. Lang ‘26 Professor of Biological Sciences,,,"B.A., College of Wooster; M.A., University of Wisconsin; Ph.D., George Washington University"
46,"Burke, Tom A2",Ralph Emerson and Alice Freeman Palmer Professor of Political Science,,,"B.A., University of Minnesota (Minneapolis); M.A., Ph.D., University of California (Berkeley)"
47,"Burns, Bryan E. A",Professor of Classical Studies,,,"B.A., University of North Carolina; M.A., Ph.D., University of Michigan"
